,amount,meal,name,notes,unit
0,500 g / 1 lb,Supreme Soy Noodles (NEW recipe – finally!),fresh yellow or white noodles,medium thickness (see Note 1),
1,2,Supreme Soy Noodles (NEW recipe – finally!),oil,"(vegetable, canola, or peanut)",tbsp
2,8,Supreme Soy Noodles (NEW recipe – finally!),green onions,"ends trimmed, cut into 7cm / 2.5” lengths, white parts separated from green parts",
3,2,Supreme Soy Noodles (NEW recipe – finally!),garlic cloves,finely chopped,
4,2,Supreme Soy Noodles (NEW recipe – finally!),sesame oil,(toasted sesame oil),tsp
5,2,Supreme Soy Noodles (NEW recipe – finally!),light soy sauce,(Note 2),tsp
6,1,Supreme Soy Noodles (NEW recipe – finally!),dark soy sauce,(Note 2),tbsp
7,1,Supreme Soy Noodles (NEW recipe – finally!),oyster sauce,(Note 3),tbsp
8,1,Supreme Soy Noodles (NEW recipe – finally!),mirin,(Note 4 for subs),tbsp
9,300g/ 10oz,Honey Prawns – stays crispy!,prawns/shrimp,peeled with tail on (600g/1.2lb whole unpeeled) (Note 1),
10,1/2,Honey Prawns – stays crispy!,kosher/cooking salt,(halve for table salt),tsp
11,1/2,Honey Prawns – stays crispy!,cornflour/cornstarch,,cup
12,9,Honey Prawns – stays crispy!,cornflour/cornstarch,(Note 2),tbsp
13,6,Honey Prawns – stays crispy!,flour,plain/all-purpose,tbsp
14,1/2,Honey Prawns – stays crispy!,baking powder,(NOT baking soda),tsp
15,1/2,Honey Prawns – stays crispy!,salt,kosher/cooking (halve for table salt),tsp
16,2/3 cup + 1 tbsp,Honey Prawns – stays crispy!,"COLD soda water, club soda or seltzer water","(NOT sparkling mineral water, Note 3)",
17,3 – 4,Honey Prawns – stays crispy!,vegetable or canola oil,"(~4cm / 1.5"" depth in a pot)",cups
18,1/3 cup (100g),Honey Prawns – stays crispy!,honey,,
19,1.5 tbsp (25g),Honey Prawns – stays crispy!,glucose OR corn syrup (light),(Note 4),
20,1,Honey Prawns – stays crispy!,light soy sauce,(or all-purpose),tbsp
21,2,Honey Prawns – stays crispy!,Chinese cooking wine,(or mirin),tsp
22,25g / 2 oz,Honey Prawns – stays crispy!,Vermicelli rice noodles (optional),"a wad of it (not mung bean noodles, it must be rice noodles)",
23,,Honey Prawns – stays crispy!,"Sesame seeds, finely sliced green onions",,
24,1 1/2,Prawn (Shrimp) Stir Fry,light soy sauce,"(sub all purpose soy, Note 1)",tbsp
25,1,Prawn (Shrimp) Stir Fry,Chinese cooking wine,"(sub Mirin or dry sherry, Note 2)",tbsp
26,2,Prawn (Shrimp) Stir Fry,oyster sauce,(Note 3),tsp
27,1/2,Prawn (Shrimp) Stir Fry,sesame oil,toasted (Note 4),tsp
28,1,Prawn (Shrimp) Stir Fry,cornflour/cornstarch,,tbsp
29,1/8,Prawn (Shrimp) Stir Fry,white pepper,(sub black pepper),tsp
30,3/4,Prawn (Shrimp) Stir Fry,water,,cup
31,2,Prawn (Shrimp) Stir Fry,oil,"peanut, canola or vegetable",tbsp
32,250g / 8 oz,Prawn (Shrimp) Stir Fry,medium prawns,"raw, peeled and deveined (equiv. 500g/1lb whole prawns, Note 5)",
33,1/2,Prawn (Shrimp) Stir Fry,onion,"sliced, brown or white",
34,2,Prawn (Shrimp) Stir Fry,ginger,"finely julienned (~2cm / 0.7"" piece)",tsp
35,2,Prawn (Shrimp) Stir Fry,garlic,finely chopped (~ 2 cloves),tsp
36,1 1/2,Prawn (Shrimp) Stir Fry,bunches broccolini,"trimmed, cut into 5cm / 2"" lengths, (~1 1/2 cups. Sub normal broccoli)",
37,120g / 4 oz,Prawn (Shrimp) Stir Fry,snow peas,thin string removed from both sides,
38,2,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,Chinese sesame paste,(Note 1),tbsp
39,1/2,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,peanut butter,(Note 2),tbsp
40,1/2,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,white sugar,,tsp
41,1/4,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,salt,,tsp
42,1/2,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,oyster sauce,(Note 3),tbsp
43,1,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,sesame oil,"toasted (ie brown, not yellow)",tbsp
44,1/4,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,dark soy sauce,(Note 4),tsp
45,3-4,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,water,(or more),tbsp
46,2,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,"baby cos lettuce or for authentic, equivalent amount of Chinese lettuce (celtuce)",trimmed (Note 5 for subs),
47,,Spicy Joint's Creamy Sesame Sauce Lettuce Salad,sesame seeds for garnish,"(black, ideally for the colour, but white or roasted are fine)",
48,1 1/2,Char Siu Pork (Chinese BBQ Pork),brown sugar,(white also ok),tbsp
49,1/4,Char Siu Pork (Chinese BBQ Pork),honey,,cup
50,1/4,Char Siu Pork (Chinese BBQ Pork),hoisin sauce,,cup
51,2,Char Siu Pork (Chinese BBQ Pork),light soy sauce,or all purpose soy (Note 1),tbsp
