,amount,meal,name,notes,unit
0,300g/10oz,Spanakopita (Greek Spinach Pie),English spinach leaves,"trimmed from thick stems, thoroughly washed, dried, then chopped into 2.5cm/1"" pieces (Note 1)",
1,1/2,Spanakopita (Greek Spinach Pie),salt,,tsp
2,175g/6oz,Spanakopita (Greek Spinach Pie),Greek feta,crumbled,
3,1/2,Spanakopita (Greek Spinach Pie),Greek yoghurt,,cup
4,2,Spanakopita (Greek Spinach Pie),green onions / scallions,finely sliced,
5,1,Spanakopita (Greek Spinach Pie),egg,,
6,2,Spanakopita (Greek Spinach Pie),mint,finely chopped,tbsp
7,1,Spanakopita (Greek Spinach Pie),dill,finely chopped,tbsp
8,1/2,Spanakopita (Greek Spinach Pie),lemon zest,,tsp
9,1/2,Spanakopita (Greek Spinach Pie),lemon juice,,tbsp
10,2,Spanakopita (Greek Spinach Pie),garlic cloves,finely chopped,
11,1/2,Spanakopita (Greek Spinach Pie),nutmeg,freshly grated,tsp
12,1/4,Spanakopita (Greek Spinach Pie),black pepper,,tsp
13,1/4,Spanakopita (Greek Spinach Pie),salt,,tsp
14,1/4,Spanakopita (Greek Spinach Pie),cayenne pepper,,tsp
15,16,Spanakopita (Greek Spinach Pie),filo pastry,(Note 2),sheets
16,120g/ 8 tbsp,Spanakopita (Greek Spinach Pie),butter,melted,
17,60g / 2/3 cup,Spanakopita (Greek Spinach Pie),Greek Kefalotyri cheese,"finely grated (sub parmesan, Note 3)",
18,1/2,Spanakopita (Greek Spinach Pie),white sesame seeds,(or more black),tsp
19,1/2,Spanakopita (Greek Spinach Pie),black sesame seeds,(or more white),tsp
20,2,Pastitsio (Greek beef pasta bake),olive oil,,tbsp
21,3,Pastitsio (Greek beef pasta bake),garlic cloves,finely minced,
22,2,Pastitsio (Greek beef pasta bake),red onions,finely chopped (sub yellow or brown onions),
23,1 kg / 2 lb,Pastitsio (Greek beef pasta bake),beef mince (ground beef),,
24,3/4,Pastitsio (Greek beef pasta bake),red wine,dry (Note 1),cup
25,800g / 28 oz,Pastitsio (Greek beef pasta bake),canned crushed tomato,,
26,2,Pastitsio (Greek beef pasta bake),beef bouillon cubes,crumbled (stock cubes),
27,2,Pastitsio (Greek beef pasta bake),tomato paste,,tbsp
28,1,Pastitsio (Greek beef pasta bake),white sugar,,tsp
29,1,Pastitsio (Greek beef pasta bake),bay leaf,,
30,1/2,Pastitsio (Greek beef pasta bake),cinnamon powder,,tsp
31,1,Pastitsio (Greek beef pasta bake),cinnamon stick,(or extra 1/2 tsp cinnamon powder),
32,1/4,Pastitsio (Greek beef pasta bake),ground cloves,,tsp
33,3/4,Pastitsio (Greek beef pasta bake),salt,,tsp
34,1,Pastitsio (Greek beef pasta bake),black pepper,,tsp
35,100g / 7 tbsp,Pastitsio (Greek beef pasta bake),butter,unsalted,
36,3/4,Pastitsio (Greek beef pasta bake),flour,plain/all purpose,cup
37,1 litre / 4 cups,Pastitsio (Greek beef pasta bake),milk,whole/full fat best but low fat ok,
38,1/8,Pastitsio (Greek beef pasta bake),nutmeg,preferably freshly grated,tsp
39,1/2,Pastitsio (Greek beef pasta bake),salt,,tsp
