,amount,meal,name,notes,unit
0,800g / 1.6 lb,Vindaloo,beef chuck,cut into 3cm / 1.2″ cubes (Note 1),
1,1 1/2,Vindaloo,salt,,tsp
2,6,Vindaloo,Kashmiri chilli powder – TEST spiciness before using! ,(Note 2),tbsp
3,2,Vindaloo,coriander seeds,,tsp
4,3,Vindaloo,cumin seeds,,tsp
5,4,Vindaloo,cloves,,
6,4,Vindaloo,cardamom pods,(green),
7,2,Vindaloo,cinnamon powder,,tsp
8,1/2,Vindaloo,black peppercorns,,tsp
9,2,Vindaloo,fresh ginger,roughly chopped,tbsp
10,10,Vindaloo,garlic cloves,"(yes, 10!)",
11,1,Vindaloo,brown sugar,,tsp
12,1,Vindaloo,fenugreek seeds,(Note 3),tsp
13,1/4,Vindaloo,turmeric powder,,tsp
14,7,Vindaloo,white vinegar,,tbsp
15,2,Vindaloo,water,,cups
16,50g / 3 tbsp,Vindaloo,ghee or unsalted butter,(Note 4),
17,1,Vindaloo,onion,"finely chopped (brown, yellow, white)",
18,2,Vindaloo,ginger,finely grated,tsp
19,4,Vindaloo,garlic cloves,finely minced,
20,1 1/2,Vindaloo,black mustard seeds,(Note 5),tsp
21,2,Vindaloo,tomato paste,,tbsp
22,10,Vindaloo,curry leaves,fresh (Note 6),
23,2,Vindaloo,beef stock,"low sodium (if using homemade, add 1/2 tsp salt)",cups
24,2,Vindaloo,coriander/cilantro leaves,roughly chopped,tbsp
25,2 1/4,Pakora (Indian Vegetable Fritters),chickpea flour,(Note 1),cups
26,1,Pakora (Indian Vegetable Fritters),turmeric powder,,tsp
27,1,Pakora (Indian Vegetable Fritters),cumin powder,,tsp
28,1,Pakora (Indian Vegetable Fritters),coriander powder,,tsp
29,1,Pakora (Indian Vegetable Fritters),fenugreek powder,(Note 2),tsp
30,1/2,Pakora (Indian Vegetable Fritters),chilli powder,"(pure chilli powder, Note 3)",tsp
31,2,Pakora (Indian Vegetable Fritters),salt,(cooking/kosher salt),tsp
32,3/4 cups + 2 1/2 tbsp,Pakora (Indian Vegetable Fritters),water,,
33,1 1/2,Pakora (Indian Vegetable Fritters),onions,grated using standard box grater (~1 1/2 onions),cups
34,2,Pakora (Indian Vegetable Fritters),potato,"(~1 large), peeled and grated using standard box grater (Note 4)",cups
35,2 1/2,Pakora (Indian Vegetable Fritters),cauliflower,"(~1/4 large head), finely chopped into rice size pieces (or grate)",cups
36,2,Pakora (Indian Vegetable Fritters),large red chillies,"(cayenne peppers), finely chopped (adjust spiciness to taste, or leave them out)",
37,1,Pakora (Indian Vegetable Fritters),fresh ginger,finely grated,tbsp
38,2,Pakora (Indian Vegetable Fritters),coriander/cilantro leaves,finely chopped,tbsp
