,amount,meal,name,notes,unit
0,200g / 7oz,Spaghetti alla Puttanesca,spaghetti,or other long pasta,
1,2,Spaghetti alla Puttanesca,extra virgin olive oil,plus more for drizzling,tbsp
2,2,Spaghetti alla Puttanesca,garlic cloves,"finely minced (knife, not garlic press)",
3,3,Spaghetti alla Puttanesca,anchovy fillets,finely minced (Note 1),
4,1/4,Spaghetti alla Puttanesca,pitted black olives,"preferably in oil, quartered (Note 2)",cup
5,1,Spaghetti alla Puttanesca,capers,drained (Note 3),tbsp
6,1/4,Spaghetti alla Puttanesca,chilli flakes,(red pepper flakes),tsp
7,400g / 14oz ,Spaghetti alla Puttanesca,can crushed tomato,(or hand crush whole canned tomatoes),
8,1/2,Spaghetti alla Puttanesca,water,,cup
9,1,Spaghetti alla Puttanesca,fresh oregano,roughly chopped (sub 1/4 tsp dried),tsp
10,1/8,Spaghetti alla Puttanesca,kosher / cooking salt,(or 2 pinches table salt),tsp
11,1/8,Spaghetti alla Puttanesca,black pepper,,tsp
12,1/4,Spaghetti alla Puttanesca,sugar,"if needed (depends on tomato quality, Note 4)",tsp
13,2,Spaghetti alla Puttanesca,fresh basil,roughly chopped (Note 6),tbsp
14,4 – 5 cups,Panzanella (Italian tomato & bread salad),stale bread,"torn into 2.5cm/1” chunks (~180g/6 oz, depending on bread used)",(loosely packed)
15,1,Panzanella (Italian tomato & bread salad),extra virgin olive oil,,tbsp
16,4,Panzanella (Italian tomato & bread salad),medium tomatoes,(Note 1),
17,1,Panzanella (Italian tomato & bread salad),cooking/kosher salt,(or 3/4 tsp table salt),tsp
18,2,Panzanella (Italian tomato & bread salad),Lebanese cucumbers,"(or 1 long telegraph/English cucumber), peeled (optional) (Note 3)",
19,1,Panzanella (Italian tomato & bread salad),basil leaves,loosely packed,cup
20,2,Panzanella (Italian tomato & bread salad),red or white wine vinegar,(Note 4 for other options),tbsp
21,1,Panzanella (Italian tomato & bread salad),Dijon mustard,,tsp
22,8,Panzanella (Italian tomato & bread salad),extra virgin olive oil,the best you can afford,tbsp
23,1 1/2,Panzanella (Italian tomato & bread salad),garlic,finely minced (~1 large or 2 small),tsp
24,1/4,Panzanella (Italian tomato & bread salad),salt,,tsp
25,2,Malfatti (Italian spinach ricotta dumplings),olive oil,,tbsp
26,2,Malfatti (Italian spinach ricotta dumplings),garlic cloves,finely minced,
27,1/2,Malfatti (Italian spinach ricotta dumplings),onion,very finely diced,
28,800g / 24 oz,Malfatti (Italian spinach ricotta dumplings),crushed tomato,(or diced),
29,1,Malfatti (Italian spinach ricotta dumplings),tomato paste,,tbsp
30,1/2,Malfatti (Italian spinach ricotta dumplings),water,,cup
31,1,Malfatti (Italian spinach ricotta dumplings),basil stem,(leaves kept for the Malfatti),
32,1/2,Malfatti (Italian spinach ricotta dumplings),white sugar,,tsp
33,3/4,Malfatti (Italian spinach ricotta dumplings),salt,,tsp
34,1/2,Malfatti (Italian spinach ricotta dumplings),black pepper,,tsp
35,300g / 10oz ,Malfatti (Italian spinach ricotta dumplings),baby spinach,"(~6 tightly packed cups, Note 4)",
36,1/2,Malfatti (Italian spinach ricotta dumplings),salt,,tsp
37,1,Malfatti (Italian spinach ricotta dumplings),olive oil,,tbsp
38,2,Malfatti (Italian spinach ricotta dumplings),garlic,finely minced,cloves
39,1,Malfatti (Italian spinach ricotta dumplings),eschallot,"(large), finely chopped (or 1/2 red onion)",
40,500g / 1 lb,Malfatti (Italian spinach ricotta dumplings),ricotta,"(must be dry type, not wet and spreadable, Note 1)",
41,1/4,Malfatti (Italian spinach ricotta dumplings),"(lightly packed) basil leaves, finely sliced",(use stem for sauce),cup
42,1,Malfatti (Italian spinach ricotta dumplings),egg,(Note 2),
43,1,Malfatti (Italian spinach ricotta dumplings),egg yolk,(Note 2),
44,1,Malfatti (Italian spinach ricotta dumplings),parmesan,finely grated,cup
45,1/2,Malfatti (Italian spinach ricotta dumplings),flour,plain / all-purpose,cup
46,1/2,Malfatti (Italian spinach ricotta dumplings),salt,,tsp
47,1/2,Malfatti (Italian spinach ricotta dumplings),black pepper,,tsp
48,1/4,Malfatti (Italian spinach ricotta dumplings),parmesan,finely grated,cup
49,,Malfatti (Italian spinach ricotta dumplings),Basil leaves,small (optional),
50,2,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)", almond meal or blanched ground almonds,(Note 1),cups
51,1/2,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",caster / superfine sugar,(Note 2),cup
52,2,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",lemon zest,(1 lemon),tsp
53,3,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",natural almond extract,,drops
54,1/8,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",salt,,tsp
55,1/2,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",dried cherries,chopped (Note 3),cup
56,2,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",egg whites,"at room temperature (from 2 large eggs, Note 4)",
57,2,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",honey,,tsp
58,1,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",Extra egg white,,
59,1 1/2,"Italian Almond Cookies (Gluten free biscuits, Ricciarelli)",flaked almonds,,cups
60,1.8kg / 2.6lb,Eggplant Parmigiana,large eggplants (aubergines) – about 5,"sliced lengthways 8mm (1/3"")-thick (skin on, Note 1)",
61,1/4,Eggplant Parmigiana,olive oil,(for brushing),cup
62,1 2/3,Eggplant Parmigiana,parmesan,finely grated,cups
63,2,Eggplant Parmigiana,basil leaves,"(loosely packed), stalks reserved",cups
64,1 1/2,Eggplant Parmigiana,mozzarella,shredded (for topping) (Note 2),cups
65,2,Eggplant Parmigiana,extra virgin olive oil,,tbsp
66,1,Eggplant Parmigiana,onion,finely diced,
67,5,Eggplant Parmigiana,garlic cloves,finely minced,
68,600ml / 20oz ,Eggplant Parmigiana,tomato passata,(Note 3),
