,amount,meal,name,notes,unit
0,1 kg/ 2lb,Galbi - Korean BBQ Marinated Beef Short Ribs,"beef short ribs, butterflied Korean style (pictured)",or thinly sliced through the bone (Note 1 for subs),
1,1,Galbi - Korean BBQ Marinated Beef Short Ribs,vegetable oil,for cooking,tbsp
2,1/3,Galbi - Korean BBQ Marinated Beef Short Ribs,soy sauce,"(all purpose or light soy, not dark or sweet)",cup
3,1/4,Galbi - Korean BBQ Marinated Beef Short Ribs,brown sugar,,cup
4,2,Galbi - Korean BBQ Marinated Beef Short Ribs,mirin,(Note 2),tbsp
5,1/4,Galbi - Korean BBQ Marinated Beef Short Ribs,onion,finely grated (including juice),cup
6,1/4,Galbi - Korean BBQ Marinated Beef Short Ribs,nashi pear,"finely grated including juice (sub normal pear or any red apple, Note 3)",cup
7,2,Galbi - Korean BBQ Marinated Beef Short Ribs,garlic,finely grated,tsp
8,2,Galbi - Korean BBQ Marinated Beef Short Ribs,ginger,finely grated,tsp
9,2,Galbi - Korean BBQ Marinated Beef Short Ribs,water,,tbsp
10,1,Galbi - Korean BBQ Marinated Beef Short Ribs,toasted sesame oil,(Note 4),tbsp
11,1,Galbi - Korean BBQ Marinated Beef Short Ribs,black pepper,,tsp
12,,Galbi - Korean BBQ Marinated Beef Short Ribs,"Green onion, sesame seeds, coriander/cilantro leaves",for garnish,
13,,Galbi - Korean BBQ Marinated Beef Short Ribs,Kimchi Fried Rice,,
14,,Galbi - Korean BBQ Marinated Beef Short Ribs,Smashed Cucumbers,,
15,2,Kimchi Fried Rice,sesame oil,"toasted, separated (1 tsp + 1 tsp)",tsp
16,2,Kimchi Fried Rice,garlic cloves,finely chopped,
17,200g/7oz,Kimchi Fried Rice,enoki mushrooms,(Note 1),
18,1,Kimchi Fried Rice,oil,"vegetable, peanut or canola",tbsp
19,1,Kimchi Fried Rice,gochujang,"(Korean chilli paste, Note 2)",tbsp
20,1,Kimchi Fried Rice,(packed) kimchi,(Note 3),cup
21,1/4,Kimchi Fried Rice,kimchi juice,from the kimchi above (Note 3),cup
22,3,Kimchi Fried Rice,cooked,day old white rice (Note 4),cups
23,,Kimchi Fried Rice,Fried egg,"runny yolk, sunny-side up",
