,amount,meal,name,notes,unit
0,1 - 2,Spanish Paella,olive oil,,tbsp
1,7 oz / 200g ,Spanish Paella,chorizo (2 pieces),"sliced 1/2 cm / 1/5"" thick (Note 1)",
2,200g / 6 oz ,Spanish Paella,squid (calamari),"cut into 7mm / 1/4"" thick rings (Note 2)",
3,1,Spanish Paella,onion,"diced (brown, white, yellow)",
4,3,Spanish Paella,garlic cloves,minced,
5,1,Spanish Paella,red capsicum / bell pepper,diced,
6,1 1/2,Spanish Paella,paella rice,"(""Bomba"", ""Valencia"" or ""Calasparra"" rice) (Note 3)",cups
7,2,Spanish Paella,"juicy ripe tomatoes, peeled and diced",OR 3/4 cup canned crushed tomato (Note 4),
8,300g / 10 oz,Spanish Paella,chicken thigh fillets,"cut into 1.5"" / 3.5cm pieces",
9,3 1/2 ,Spanish Paella,chicken broth/stock (not low sodium),or homemade seafood broth (Note 5),cups
10,1,Spanish Paella,saffron threads,"(or 1/4 tsp ground saffron, Note 6)",tsp
11,1,Spanish Paella,frozen peas,,cup
12,12- 16,Spanish Paella,medium / large prawns,whole (shell on) (Note 7),
13,12,Spanish Paella,large mussels,cleaned & check freshness (Note 8),
14,,Spanish Paella,Fresh parsley,chopped,
15,2,Spanish Paella,Lemons,cut into wedges,
16,1/4,Churros Recipe,caster / superfine sugar,,cup
17,2,Churros Recipe,ground cinnamon,,tsp
18,1,Churros Recipe,"flour, plain / all purpose",(Note 1),cup
19,1,Churros Recipe,baking powder,,tsp
20,,Churros Recipe,of salt,,Pinch
21,1,Churros Recipe,"vegetable, canola or olive oil",(not extra virgin olive oil),tbsp
22,1,Churros Recipe,boiling water,,cup
23,2,Churros Recipe,vegetable or canola oil,for frying,cups+
24,1/2,Churros Recipe,dark chocolate or semi sweet chocolate chips,(Note 2),cup
25,1/2,Churros Recipe,thickened / heavy cream,(heavy cream),cup
26,2 lb / 1 kg ,Greek Chicken Gyros recipe,chicken thigh fillets,boneless skinless,
27,3,Greek Chicken Gyros recipe,large garlic cloves,minced (~ 3 tsp),
28,1,Greek Chicken Gyros recipe,white wine vinegar,(or red wine or apple cider vinegar),tbsp
29,3,Greek Chicken Gyros recipe,lemon juice,,tbsp
30,1,Greek Chicken Gyros recipe,extra virgin olive oil,,tbsp
31,3,Greek Chicken Gyros recipe,Greek yogurt,preferably full fat,tbsp
32,1 1/2,Greek Chicken Gyros recipe,dried oregano,,tbsp
33,1,Greek Chicken Gyros recipe,salt,,tsp
34,,Greek Chicken Gyros recipe,Black pepper,,
35,2,Greek Chicken Gyros recipe,cucumbers,(to make about 1/2 - 3/4 cup grated cucumber after squeezing out juice),
36,1 1/4,Greek Chicken Gyros recipe,Greek yoghurt,preferably full fat,cups
37,1,Greek Chicken Gyros recipe,lemon juice,,tbsp
38,1,Greek Chicken Gyros recipe,extra virgin olive oil,(or more if you want richer),tbsp
39,1,Greek Chicken Gyros recipe,garlic clove,minced,
40,1/4,Greek Chicken Gyros recipe,salt,,tsp
41,,Greek Chicken Gyros recipe,Black pepper,,
42,3,Greek Chicken Gyros recipe,tomatoes,desseeded and diced,
43,3,Greek Chicken Gyros recipe,cucumbers,diced,
44,1/2,Greek Chicken Gyros recipe,red spanish onion,peeled and finely chopped,
45,1/4,Greek Chicken Gyros recipe,fresh parsley leaves,(optional),cup
46,,Greek Chicken Gyros recipe,Salt and pepper,,
47,4,Greek Chicken Gyros recipe,to 6 pita breads or flat breads,,
48,2,Swedish Meatballs (homemade Ikea Meatballs),white sandwich bread,"crusts removed, chopped into small cubes (Note 1)",slices
49,1,Swedish Meatballs (homemade Ikea Meatballs),onion,"small (brown, white or yellow)",
50,300g / 10 oz,Swedish Meatballs (homemade Ikea Meatballs),ground beef (mince),,
51,300g / 10 oz,Swedish Meatballs (homemade Ikea Meatballs),ground pork (mince),or sub with more beef (Note 2),
52,1,Swedish Meatballs (homemade Ikea Meatballs),egg,,
53,1/4,Swedish Meatballs (homemade Ikea Meatballs),ground nutmeg,preferably freshly grated,tsp
54,1/4,Swedish Meatballs (homemade Ikea Meatballs),All Spice powder,(Note 3),tsp
55,1/4,Swedish Meatballs (homemade Ikea Meatballs),black pepper,,tsp
56,3/4,Swedish Meatballs (homemade Ikea Meatballs),salt,,tsp
57,1,Swedish Meatballs (homemade Ikea Meatballs),oil,,tbsp
58,40g / 3 tbsp,Swedish Meatballs (homemade Ikea Meatballs),butter,unsalted,
59,3,Swedish Meatballs (homemade Ikea Meatballs),flour,,tbsp
60,2,Swedish Meatballs (homemade Ikea Meatballs),beef broth/stock ,"(salt reduced), or sub with chicken",cups
61,1/2,Swedish Meatballs (homemade Ikea Meatballs),heavy / thickened cream,(Note 4),cup
62,1kg / 2lb,Mediterranean Baked Chicken Dinner,"bone in, skin on chicken thighs and drumsticks",(Note 1),
63,1/2 cup (125 ml),Mediterranean Baked Chicken Dinner,lemon juice,,
64,6,Mediterranean Baked Chicken Dinner,garlic,minced,cloves
65,2,Mediterranean Baked Chicken Dinner,Dijon mustard,(Optional - Note 2),tsp
66,2,Mediterranean Baked Chicken Dinner,honey or 1 tbsp sugar,(or maple or other sweetener),tbsp
67,1,Mediterranean Baked Chicken Dinner,dried oregano,,tbsp
68,1.5,Mediterranean Baked Chicken Dinner,paprika,,tsp
69,1,Mediterranean Baked Chicken Dinner,olive oil,,tbsp
70,1/2,Mediterranean Baked Chicken Dinner,EACH salt and pepper,,tsp
71,5,Mediterranean Baked Chicken Dinner,"smallish potatoes (7.5cm/3"" wide)",quartered (Note 3),
72,2,Mediterranean Baked Chicken Dinner,red onions,quartered,
73,1 cup (250ml),Mediterranean Baked Chicken Dinner,chicken broth/stock,low sodium,
74,250g/8oz,Mediterranean Baked Chicken Dinner,cherry tomatoes,(whole),
75,1/2,Mediterranean Baked Chicken Dinner,EACH salt and pepper,,tsp
76,1,Mediterranean Baked Chicken Dinner,Olive oil (or oil spray),,tbsp
77,,Mediterranean Baked Chicken Dinner,Fresh oregano,for garnish (optional),
78,1 kg / 2 lb,Moussaka (Greek Beef and Eggplant Lasagna),eggplant (aubergines),"0.75cm / 0.3"" thick slices",
79,1,Moussaka (Greek Beef and Eggplant Lasagna),salt,,tsp
80,2 - 3,Moussaka (Greek Beef and Eggplant Lasagna),olive oil,,tbsp
81,1,Moussaka (Greek Beef and Eggplant Lasagna),olive oil,,tbsp
82,1,Moussaka (Greek Beef and Eggplant Lasagna),onion,"diced (brown, white, yellow)",
83,3,Moussaka (Greek Beef and Eggplant Lasagna),garlic cloves,minced,
84,1.4 lb / 700 g,Moussaka (Greek Beef and Eggplant Lasagna),ground beef or lamb (mince),(Note 1),
85,1/2,Moussaka (Greek Beef and Eggplant Lasagna),red wine,dry (optional),cup
86,14 oz /400g ,Moussaka (Greek Beef and Eggplant Lasagna),crushed tomatoes,,
87,3,Moussaka (Greek Beef and Eggplant Lasagna),tomato paste,,tbsp
88,1,Moussaka (Greek Beef and Eggplant Lasagna),beef broth/stock,(Note 2),cup
89,1,Moussaka (Greek Beef and Eggplant Lasagna),beef bouillon cube,crumbled (or 1 tsp powder),
90,2,Moussaka (Greek Beef and Eggplant Lasagna),bay leaves,,
91,1.5,Moussaka (Greek Beef and Eggplant Lasagna),sugar (any),,tsp
92,2,Moussaka (Greek Beef and Eggplant Lasagna),dried oregano,,tsp
93,1/2,Moussaka (Greek Beef and Eggplant Lasagna),cinnamon,"(or 1 stick, use whole)",tsp
94,3/4,Moussaka (Greek Beef and Eggplant Lasagna),salt,,tsp
95,4 tbsp (60g),Moussaka (Greek Beef and Eggplant Lasagna),butter,,
96,5,Moussaka (Greek Beef and Eggplant Lasagna),plain flour,,tbsp
97,2 1/2,Moussaka (Greek Beef and Eggplant Lasagna),milk,(any fat %),cups
98,1/4,Moussaka (Greek Beef and Eggplant Lasagna),"nutmeg, freshly grated (optional)",,tsp
99,1/2,Moussaka (Greek Beef and Eggplant Lasagna),"parmesan cheese, grated",(or Kefalotiri Cheese) (Note 3),cup
100,1,Moussaka (Greek Beef and Eggplant Lasagna),egg,,
101,1,Moussaka (Greek Beef and Eggplant Lasagna),egg yolk,,
102,1 1/4,Moussaka (Greek Beef and Eggplant Lasagna),"Vegeta, vegetable or chicken stock powder",(or salt) (Note 4),tsp
103,1/4,Moussaka (Greek Beef and Eggplant Lasagna),pepper,,tsp
104,1/3,Moussaka (Greek Beef and Eggplant Lasagna),panko breadcrumbs,(Note 5),cup
105,2.5 cups (375g) ,Gozleme!,flour,plain/all purpose (GF Note 4),
106,1/3 cup (85ml) ,Gozleme!,extra virgin olive oil,,
107,3/4 cup (185ml) ,Gozleme!,water,,
108,1/2,Gozleme!,salt,,tsp
109,300g / 10oz ,Gozleme!,baby spinach,,
110,2,Gozleme!,garlic cloves,minced,
111,2,Gozleme!,eggs,,
112,1,Gozleme!,black pepper,,tsp
113,300g / 10 oz ,Gozleme!,Danish feta,"(soft feta, Note 2)",
114,2 cups (200g) ,Gozleme!,shredded mozzarella cheese,(Note 3),
115,1,Gozleme!,olive oil,,tbsp
116,2,Gozleme!,garlic cloves,minced,
117,1,Gozleme!,onion,finely chopped,
118,500g / 1 lb ,Gozleme!,beef or lamb mince,(ground),
119,1,Gozleme!,capsicum / bell pepper,chopped,
120,90g / 3 oz ,Gozleme!,baby spinach,,
121,1.5,Gozleme!,cumin powder,,tsp
122,1,Gozleme!,paprika,,tsp
123,1/2,Gozleme!,cayenne,(adjust spiciness to taste),tsp
124,3/4,Gozleme!,each salt and pepper,,tsp
125,1,Gozleme!,water,,tbsp
126,120g / 4 oz ,Gozleme!,Danish feta,(Note 2),
127,1 - 1.5,Gozleme!,olive oil ,per gozleme,tbsp
128,,Gozleme!,Lemon wedges,(optional),
129,1.25 kg / 2.5 lb ,Greek Chicken,drumsticks and chicken thighs,bone in skin on (Note 1),
130,6,Greek Chicken,garlic cloves,minced (~ 2 tbsp),
131,2,Greek Chicken,white wine vinegar,(or red wine or apple cider vinegar),tbsp
132,1/2 cup / 125 ml,Greek Chicken,lemon juice,,
133,2,Greek Chicken,extra virgin olive oil,,tbsp
134,3/4,Greek Chicken,Greek yogurt,(I use Farmers Union),cup
135,1 1/2,Greek Chicken,dried oregano,,tbsp
136,1,Greek Chicken,salt,,tsp
137,1/2,Greek Chicken,black pepper,,tsp
138,,Greek Chicken,Plain Greek yogurt or Tzatziki,,
139,,Greek Chicken,Fresh oregano leaves,(optional),
140,1 kg / 2 lb ,Homemade Chicken Doner Kebab recipe,chicken thighs,skinless and boneless (Note 1),
141,,Homemade Chicken Doner Kebab recipe,Olive oil,for drizzling,
142,1,Homemade Chicken Doner Kebab recipe,plain yoghurt,unsweetened (I use Greek),cup
143,3,Homemade Chicken Doner Kebab recipe,garlic cloves minced,,
144,1 1/2,Homemade Chicken Doner Kebab recipe,coriander powder,,tsp
145,2,Homemade Chicken Doner Kebab recipe,cumin powder,,tsp
146,2,Homemade Chicken Doner Kebab recipe,paprika,,tsp
147,1,Homemade Chicken Doner Kebab recipe,cayenne pepper,optional,tsp
148,1 1/2,Homemade Chicken Doner Kebab recipe,onion powder,,tsp
149,1/2,Homemade Chicken Doner Kebab recipe,black pepper,,tsp
150,2 1/2,Homemade Chicken Doner Kebab recipe,tomato paste,,tbsp
