,amount,meal,name,notes,unit
0,5,Mexican Corn Salad,corn cut from the cob (~4 large ears),"(or frozen corn, not thawed, Note 1)",cups
1,2 tbsp / 30g,Mexican Corn Salad,butter,,
2,2,Mexican Corn Salad,garlic cloves,minced,
3,1/2,Mexican Corn Salad,each salt and pepper,,tsp
4,1/4,Mexican Corn Salad,mayonnaise,(can cut down to 2 tbsp),cup
5,1/4,Mexican Corn Salad,sour cream,(or yoghurt),cup
6,1/2,Mexican Corn Salad,parmesan cheese,finely grated (Note 1),cup
7,1,Mexican Corn Salad,Jalapeno,deseeded and finely chopped (optional),tbsp
8,1,Mexican Corn Salad,coriander / cilantro leaves,roughly chopped,cup
9,1,Mexican Corn Salad,green onion,finely sliced (~2 stems),cup
10,1/2,Mexican Corn Salad,red onion,finely chopped,
11,2 – 3,Mexican Corn Salad,lime juice,fresh (plus more to taste),tbsp
12,60g / 2 oz,Mexican Corn Salad,Cotija or Feta,crumbled (optional) (Note 2),
13,,Mexican Corn Salad,"Jalapeno slices, coriander/cilantro leaves, lime wedges",optional,
14,250g / 8oz,Mexican Meatballs,beef mince,(ground beef),
15,250g / 8oz,Mexican Meatballs,pork mince,"(ground pork), or more beef (Note 1)",
16,1/2,Mexican Meatballs,red onion,grated using a standard box grater,
17,50g / 1.75 oz,Mexican Meatballs,plain corn chips,sub breadcrumbs + 1/4 tsp salt (Note 2),
18,1,Mexican Meatballs,egg,,
19,3,Mexican Meatballs,coriander/cilantro,finely chopped (sub chives or parsley),tbsp
20,3,Mexican Meatballs,parsley,finely chopped (optional),tbsp
21,2,Mexican Meatballs,fresh jalapeño,seeds removed and finely minced (reduce/omit for not spicy),tsp
22,,Mexican Meatballs,Oil spray,(preferably olive oil),
23,1 1/2,Mexican Meatballs,ground cumin,,tsp
24,1,Mexican Meatballs,chipotle powder,"sub more smoked paprika, reduce for less spicy (Note 3)",tsp
25,1,Mexican Meatballs,coriander powder,,tsp
26,1,Mexican Meatballs,garlic powder,"(sub 1/2 fresh garlic clove, finely grated)",tsp
27,1/2,Mexican Meatballs,paprika,hot for spicy or sweet for not (or sub more Chipotle powder),tsp
28,1,Mexican Meatballs,salt,,tsp
29,1/2,Mexican Meatballs,black pepper,,tsp
