,amount,meal,name,notes,unit
0,1,Chicken Tagine,"dried apricot, halved",(Note 1),cup
1,6,Chicken Tagine,chicken thighs,bone-in skin-on (Note 2),x 220g / 7 oz
2,3/4,Chicken Tagine,salt,(cooking/kosher salt),tsp
3,2,Chicken Tagine,olive oil,,tbsp
4,1,Chicken Tagine,onion,"(brown/yellow), cut into 0.3 cm/ 1/8"" slices",
5,2,Chicken Tagine,garlic cloves,finely minced,
6,1,Chicken Tagine,cinnamon stick,(sub 1/2 tsp powder),
7,400 g / 14 oz,Chicken Tagine,crushed tomato,(1 can),
8,400g / 14 oz,Chicken Tagine,canned chickpeas,drained (Note 10),
9,1,Chicken Tagine,preserved lemon skin,finely minced (Note 3),tbsp
10,2 1/2,Chicken Tagine,"chicken stock, low-sodium",(or homemade),cups
11,1,Chicken Tagine,cooking salt,,tsp
12,3/4,Chicken Tagine,ground cumin,,tsp
13,3/4,Chicken Tagine,ground ginger,,tsp
14,3/4,Chicken Tagine,black pepper,,tsp
15,1/2,Chicken Tagine,allspice powder,,tsp
16,1/4,Chicken Tagine,cinnamon powder,,tsp
17,1/4,Chicken Tagine,coriander powder,,tsp
18,1/8,Chicken Tagine,clove powder,,tsp
19,,Chicken Tagine,Couscous – plain or with fruit and/or nuts,(recipe here),
20,2,Chicken Tagine,fresh coriander,roughly chopped,tbsp
21,1,Chicken Tagine,kalamata olives ,(instead of apricots) (Note 7),cup
22,1/3,Chicken Tagine,slivered almonds,"lightly toasted, for garnish (Note 8)",cup
23,1 kg / 2 lb,Chicken Shawarma (Middle Eastern),chicken thigh fillets,skinless and boneless (Note 3),
24,1,Chicken Shawarma (Middle Eastern),large garlic clove,minced (or 2 small cloves),
25,1,Chicken Shawarma (Middle Eastern),ground coriander,,tbsp
26,1,Chicken Shawarma (Middle Eastern),ground cumin,,tbsp
27,1,Chicken Shawarma (Middle Eastern),ground cardamon,,tbsp
28,1,Chicken Shawarma (Middle Eastern),ground cayenne pepper,(reduce to 1/2 tsp to make it not spicy),tsp
29,2,Chicken Shawarma (Middle Eastern),smoked paprika,,tsp
30,2,Chicken Shawarma (Middle Eastern),salt,,tsp
31,,Chicken Shawarma (Middle Eastern),Black pepper,,
32,2,Chicken Shawarma (Middle Eastern),lemon juice,,tbsp
33,3,Chicken Shawarma (Middle Eastern),olive oil,,tbsp
34,1,Chicken Shawarma (Middle Eastern),Greek yoghurt,,cup
35,1,Chicken Shawarma (Middle Eastern),garlic,crushed,clove
36,1,Chicken Shawarma (Middle Eastern),cumin,,tsp
37,,Chicken Shawarma (Middle Eastern),Squeeze of lemon juice,,
38,,Chicken Shawarma (Middle Eastern),Salt and pepper,,
39,4,Chicken Shawarma (Middle Eastern),flatbreads,(Lebanese or pita bread orhomemade soft flatbreads),– 5
