,amount,meal,name,notes,unit
0,200g / 7 oz,Pad See Ew (Thai Stir Fried Noodles),dried wide rice stick noodles,or 15 oz / 450g fresh wide flat rice noodles (Sen Yai) (Note 1),
1,2,Pad See Ew (Thai Stir Fried Noodles),dark soy sauce,(Note 2),tbsp
2,2,Pad See Ew (Thai Stir Fried Noodles),oyster sauce,,tbsp
3,2,Pad See Ew (Thai Stir Fried Noodles),soy sauce,"(all purpose or light, Note 3)",tsp
4,2,Pad See Ew (Thai Stir Fried Noodles),white vinegar,(plain white vinegar),tsp
5,2,Pad See Ew (Thai Stir Fried Noodles),sugar,(any type),tsp
6,2,Pad See Ew (Thai Stir Fried Noodles),water,,tbsp
7,3,Pad See Ew (Thai Stir Fried Noodles),peanut or vegetable oil,separated,tbsp
8,2,Pad See Ew (Thai Stir Fried Noodles),"garlic cloves, very finely chopped",,cloves
9,1 cup / 150g / 5oz ,Pad See Ew (Thai Stir Fried Noodles),chicken thighs,"(boneless, skinless), sliced (Note 4)",
10,1,Pad See Ew (Thai Stir Fried Noodles),large egg,,
11,4,Pad See Ew (Thai Stir Fried Noodles),stems Chinese broccoli,(Note 5),
12,1,Thai Black Sticky Rice Pudding,black glutinous rice,(aka black sticky rice) (Note 1),cup
13,4,Thai Black Sticky Rice Pudding,white glutinous rice,(white sticky rice) (Note 1),tbsp
14,4,Thai Black Sticky Rice Pudding,water,,cups
15,2,Thai Black Sticky Rice Pudding,pandan leaves,folded and knotted (Note 2),
16,1,Thai Black Sticky Rice Pudding,palm sugar,"(or brown sugar), grated with box grater (Note 3)",cup (loosely packed)
17,1/2,Thai Black Sticky Rice Pudding,salt,,tsp
18,1/2,Thai Black Sticky Rice Pudding,coconut cream,(very highly recommended),cup
19,1/8,Thai Black Sticky Rice Pudding,salt,,tsp
20,1/2,Thai Black Sticky Rice Pudding,shaved coconut,"toasted, optional (Note 4)",cup
21,,Thai Black Sticky Rice Pudding,Mango cubes or crushed peanuts,"for topping, optional",
22,2,Green Papaya Salad,garlic,roughly chopped (10 normal or 4 large garlic cloves),tbsp
23,6,Green Papaya Salad,"bird eye chillies,","roughly chopped with seeds (use fewer for less spicy, Note 1)",
24,6,Green Papaya Salad,dried shrimp,(Note 2),tbsp
25,1,Green Papaya Salad,palm sugar,"grated using standard box grater, loosely packed (Note 3)",cup
26,1/2,Green Papaya Salad,lime juice,,cup
27,1/2,Green Papaya Salad,fish sauce,,cup
28,1,Green Papaya Salad,roasted peanuts,unsalted,cup
29,20,Green Papaya Salad,snake beans,"cut in 5cm/2″ pieces (raw, Note 4)",
30,3,Green Papaya Salad,grape tomato,cut in half  (~400g / 14oz),cups
31,500g / 4 cups,Green Papaya Salad,green papaya,"shredded, TIGHTLY packed cups (~1 medium, 2/3 large, Note 5)",
32,1/2,Green Papaya Salad,Thai basil leaves,(Note 6),cup
33,10,Thai Yellow Curry,dried red chillis,"(~6cm/2.5"" long), chopped into 1cm / 0.5"" pieces (Note 1)",
34,1 – 4,Thai Yellow Curry,fresh birds eye chillis,"deseeded, roughly (1 for extremely mild, 4 for fairly spicy, Note 2)",
35,2,Thai Yellow Curry,lemongrass stems,(Note 3),
36,1 large or 2 small,Thai Yellow Curry,eschalots,roughly chopped (~ 1/2 cup) (Note 4),
37,2,Thai Yellow Curry,fresh turmeric,"finely grated (about 2cm / 0.8"" piece) (Note 5)",tbsp
38,2,Thai Yellow Curry,galangal,"finely grated (about 2cm / 0.8"" piece) (Note 6)",tbsp
39,8,Thai Yellow Curry,garlic,roughly chopped,cloves
40,1 1/2,Thai Yellow Curry,Thai shrimp paste in bean oil,(Note 7),tbsp
41,1,Thai Yellow Curry,ground coriander,,tsp
42,1,Thai Yellow Curry,ground cumin,,tsp
43,1/4,Thai Yellow Curry,ground cardamom,,tsp
44,1/2,Thai Yellow Curry,fenugreek powder,(Note 8),tsp
45,1/8,Thai Yellow Curry,white pepper,(sub black),tsp
46,3,Thai Yellow Curry,vegetable oil,(or canola or peanut oil),tbsp
47,1,Thai Yellow Curry,medium potato,"peeled, cut into 2.5cm / 1″ pieces x 1cm/ 0.4″ thick (Note 9)",
48,1,Thai Yellow Curry,small carrot,"peeled, sliced into 5mm / 0.2″ slices on the diagonal",
49,1,Thai Yellow Curry,chicken stock,low sodium,cup
50,300 ml / 10oz ,Thai Yellow Curry,coconut cream,(Note 10),
51,4,Thai Yellow Curry,fish sauce,plus more to taste (Note 11),tsp
52,5,Thai Yellow Curry,white sugar,,tsp
53,2,Thai Yellow Curry,tamarind puree,(Note 12),tsp
54,350g / 12oz,Thai Yellow Curry,prawns/shrimp,"medium, peeled, tail on optional (700g/1.4lb unpeeled) (Note 13)",
55,1/2,Thai Yellow Curry,bamboo shoots,"canned, drained, loosely packed (Note 14)",cup
56,16,Thai Yellow Curry,Thai basil leaves,"(highly recommended, Note 15)",
57,1,Thai Yellow Curry,Red chilli,"finely sliced (optional, use large for not spicy)",
58,2,Thai Yellow Curry,Crispy fried shallots,"(optional, store bought, Note 16)",tbsp
59,,Thai Yellow Curry,Jasmine rice,,
60,13-16,Beef Satay with Thai Peanut Sauce,bamboo skewers,"16cm / 6.5"" long (Note 1)",
61,600g / 1.2lb ,Beef Satay with Thai Peanut Sauce,beef rump steak (top sirloin in the US),"2.5 cm/1"" pieces (Note 2)",
62,1/4,Beef Satay with Thai Peanut Sauce,coconut mik,"full fat (I use Ayam, Note 3)",cup
63,1,Beef Satay with Thai Peanut Sauce,curry powder,(Note 4),tbsp
64,1,Beef Satay with Thai Peanut Sauce,white sugar,,tsp
65,2,Beef Satay with Thai Peanut Sauce,red curry paste,(Note 5),tsp
66,1/2,Beef Satay with Thai Peanut Sauce,baking soda / bi-carb,"(tenderiser, Note 6)",tsp
67,1,Beef Satay with Thai Peanut Sauce,salt,,tsp
68,1,Beef Satay with Thai Peanut Sauce,red curry paste,(Note 5),tbsp
69,2/3,Beef Satay with Thai Peanut Sauce,coconut milk,"full fat (I use Ayam, Note 3)",cup
70,1/3,Beef Satay with Thai Peanut Sauce,natural peanut butter,smooth (Note 7),cup
71,1 1/2,Beef Satay with Thai Peanut Sauce,white sugar,,tbsp
72,1,Beef Satay with Thai Peanut Sauce,dark soy sauce,(Note 8),tsp
