,amount,meal,name,notes,unit
0,350g/12oz,Vietnamese Chicken Salad,cooked chicken,"cut into thin batons (2 large cooked breasts, Note 1)",
1,6,Vietnamese Chicken Salad,heaped cups wombok cabbage,"(Napa cabbage), finely shredded (Note 2)",
2,1/2,Vietnamese Chicken Salad,red onion,very finely sliced (so it’s floppy),
3,1,Vietnamese Chicken Salad,red capsicum / bell pepper,finely sliced into thin batons,
4,2,Vietnamese Chicken Salad,cucumbers,remove seeds then finely sliced into half moons (or 1 long continental/English cucumber),
5,1,Vietnamese Chicken Salad,large carrot,peeled then julienned (I use a shredder),
6,1,Vietnamese Chicken Salad,large chilli,"deseeded then julienned, optional (Note 3)",
7,1,Vietnamese Chicken Salad,mint leaves,large leaves roughly torn by hand (Note 4),cup (tightly packed)
8,1,Vietnamese Chicken Salad,coriander/cilantro leaves,(Note 4),cup (tightly packed)
9,2,Vietnamese Chicken Salad,lime juice,,tbsp
10,2,Vietnamese Chicken Salad,rice vinegar,,tbsp
11,1/4,Vietnamese Chicken Salad,fish sauce,(sub light or all purpose soy sauce),cup
12,1/4,Vietnamese Chicken Salad,canola oil,"(or vegetable, grapeseed, peanut)",cup
13,1,Vietnamese Chicken Salad,white sugar,,tbsp
14,1,Vietnamese Chicken Salad,large garlic clove,very finely minced,
15,2,Vietnamese Chicken Salad,red chilli,"deseeded then very finely minced (birds eye or Thai Red Chilli best, Note 3)",tsp
16,1/2,Vietnamese Chicken Salad,"peanuts, roasted unsalted","finely chopped (~1/3 cup once chopped, Note 5)",cup
17,1,Vietnamese Chicken Pho soup (Pho Ga),oil,vegetable or canola (or other plain oil),tbsp
18,2,Vietnamese Chicken Pho soup (Pho Ga),onions,halved (skin on fine),
19,"5cm/ 2"" ",Vietnamese Chicken Pho soup (Pho Ga),piece of ginger,"sliced 0.75cm / 1/3"" thick (unpeeled)",
20,2 litres / 2 quarts,Vietnamese Chicken Pho soup (Pho Ga),water,,
21,1.5 kg / 3 lb,Vietnamese Chicken Pho soup (Pho Ga),"chicken thighs, bone in skin on ",(Note 1),
22,1,Vietnamese Chicken Pho soup (Pho Ga),small bunch coriander/cilantro,(Note 2),
23,5,Vietnamese Chicken Pho soup (Pho Ga),star anise pods,(was short in photo & video!),
24,1,Vietnamese Chicken Pho soup (Pho Ga),cinnamon stick,,
25,4,Vietnamese Chicken Pho soup (Pho Ga),cloves,,
26,2,Vietnamese Chicken Pho soup (Pho Ga),fennel seeds,,tsp
27,2,Vietnamese Chicken Pho soup (Pho Ga),coriander seeds,,tsp
28,8,Vietnamese Chicken Pho soup (Pho Ga),fish sauce,,tsp
29,6,Vietnamese Chicken Pho soup (Pho Ga),white sugar,,tsp
30,3/4,Vietnamese Chicken Pho soup (Pho Ga),salt,"(Cooking/kosher salt, or 1/2 tsp table salt)",tsp
31,360g / 13 oz,Vietnamese Chicken Pho soup (Pho Ga),dried rice noodles,thin flat (or 600g fresh),
32,2,Vietnamese Chicken Pho soup (Pho Ga),green onions stems,finely sliced,
33,3,Vietnamese Chicken Pho soup (Pho Ga),bean sprouts,(Note 3),cups
34,1,Vietnamese Chicken Pho soup (Pho Ga),"EACH Thai Basil, min, coriander/cilantro",(Note 4),small bunch
35,2,Vietnamese Chicken Pho soup (Pho Ga),limes,cut into 4 wedges,
36,,Vietnamese Chicken Pho soup (Pho Ga),Hoisin sauce,,
37,,Vietnamese Chicken Pho soup (Pho Ga),Sriracha,,
38,,Vietnamese Chicken Pho soup (Pho Ga),Red chillies,finely sliced (optional),
39,2,Vietnamese Pho recipe,large onions,halved,
40,150g / 5oz ,Vietnamese Pho recipe,ginger,sliced down the centre,
41,10,Vietnamese Pho recipe,star anise,,
42,4,Vietnamese Pho recipe,cinnamon quills,,
43,4,Vietnamese Pho recipe,cardamon pods,,
44,3,Vietnamese Pho recipe,cloves,(the spice cloves!),
45,1.5,Vietnamese Pho recipe,coriander seeds,,tbsp
46,1.5kg / 3lb ,Vietnamese Pho recipe,beef brisket,,
47,1kg / 2lb ,Vietnamese Pho recipe,meaty beef bones,,
48,1kg / 2lb ,Vietnamese Pho recipe,marrow bones,"(leg, knuckle), cut to reveal marrow",
49,3.5 litres / 3.75 quarts ,Vietnamese Pho recipe,water,(15 cups),
50,2,Vietnamese Pho recipe,white sugar,,tbsp
51,1,Vietnamese Pho recipe,salt,,tbsp
52,40 ml / 3 tbsp ,Vietnamese Pho recipe,fish sauce,(Note 2),
53,50g / 1.5 oz ,Vietnamese Pho recipe,dried rice sticks,(or 120g/4oz fresh) (Note 3),
54,30g / 1 oz ,Vietnamese Pho recipe,"beef tenderloin, raw, very thinly sliced",(Note 4),
55,3 - 5,Vietnamese Pho recipe,brisket slices,(used for broth),
56,,Vietnamese Pho recipe,"Beansprouts, handful",,
57,,Vietnamese Pho recipe,"Thai basil, 3 - 5 sprigs",,
58,,Vietnamese Pho recipe,"Coriander/cilantro, 3 - 5 sprigs",(or more basil),
59,,Vietnamese Pho recipe,Lime wedges*,,
60,,Vietnamese Pho recipe,Finely sliced red chilli*,,
61,,Vietnamese Pho recipe,Hoisin sauce*,,
62,,Vietnamese Pho recipe,Sriracha*,(for spiciness),
63,600 - 800g / 1.2 - 1.6lb ,Vietnamese Noodles with Lemongrass Chicken,chicken thigh fillets,"skinless and boneless or breast (or pork, beef or any seafood)",
64,1,Vietnamese Noodles with Lemongrass Chicken,stalk lemongrass,"white part only, bruised them sliced into pieces easy to pick out later (Note 1)",
65,2,Vietnamese Noodles with Lemongrass Chicken,garlic cloves,finely chopped or minced,
66,2,Vietnamese Noodles with Lemongrass Chicken,lime juice,,tbsp
67,2,Vietnamese Noodles with Lemongrass Chicken,fish sauce,(Note 2),tbsp
68,1,Vietnamese Noodles with Lemongrass Chicken,soy sauce,"(all purpose or light, NOT dark soy)",tbsp
69,2,Vietnamese Noodles with Lemongrass Chicken,brown sugar,,tbsp
70,1,Vietnamese Noodles with Lemongrass Chicken,vegetable oil,,tbsp
71,1/4,Vietnamese Noodles with Lemongrass Chicken,fish sauce,(Note 3),cup
72,4,Vietnamese Noodles with Lemongrass Chicken,rice vinegar,,tbsp
73,2,Vietnamese Noodles with Lemongrass Chicken,white sugar,,tbsp
74,1/2,Vietnamese Noodles with Lemongrass Chicken,water,,cup
75,2,Vietnamese Noodles with Lemongrass Chicken,garlic cloves,finely chopped,
76,1,Vietnamese Noodles with Lemongrass Chicken,red birds eye chilli,finely chopped (Note 4),
77,3,Vietnamese Noodles with Lemongrass Chicken,lime juice,,tbsp
78,1/2,Vietnamese Noodles with Lemongrass Chicken,oil,,tbsp
79,200 g / 7 oz ,Vietnamese Noodles with Lemongrass Chicken,vermicelli noodles,dried,
80,2,Vietnamese Noodles with Lemongrass Chicken,carrots,julienned,
81,2,Vietnamese Noodles with Lemongrass Chicken,cucumbers,julienned (optional: remove seeds),
82,5,Vietnamese Noodles with Lemongrass Chicken,iceberg lettuce,finely sliced,cups
83,3,Vietnamese Noodles with Lemongrass Chicken,bean sprouts,,cups
84,,Vietnamese Noodles with Lemongrass Chicken,Handful of mint leaves,,
85,,Vietnamese Noodles with Lemongrass Chicken,Handful of cilantro/coriander,,
86,,Vietnamese Noodles with Lemongrass Chicken,Sliced red chilli,(for garnish - optional),
87,,Vietnamese Noodles with Lemongrass Chicken,Lime wedges,(to serve - optional but recommended),
88,1 1/2,Vietnamese Caramelised Pork Bowls,cooking oil,(I use peanut oil),tbsp
89,1/2,Vietnamese Caramelised Pork Bowls,onion,"finely diced (brown, white or yellow) (~1/2 cup)",
90,2,Vietnamese Caramelised Pork Bowls,ginger,grated or minced,tsp
91,2,Vietnamese Caramelised Pork Bowls,garlic cloves,minced (2 tsp paste),
92,1,Vietnamese Caramelised Pork Bowls,birds eye or Thai chili,deseeded and finely chopped (Note 1),
93,1 lb / 500g ,Vietnamese Caramelised Pork Bowls,ground pork,(mince) (Note 2),
94,5,Vietnamese Caramelised Pork Bowls,brown sugar,,tbsp
95,2,Vietnamese Caramelised Pork Bowls,fish sauce,,tbsp
96,1,Vietnamese Caramelised Pork Bowls,green onion,"stem , finely sliced",
97,,Vietnamese Caramelised Pork Bowls,Rice,,
98,,Vietnamese Caramelised Pork Bowls,"Sliced red chilli, tomato, cucumber",(optional),
99,4,Banh Mi ! (Vietnamese sandwich),crusty long bread rolls,(Note 1),
100,6,Banh Mi ! (Vietnamese sandwich),pork or chicken pate,(Note 2),tbsp
101,6,Banh Mi ! (Vietnamese sandwich),mayonnaise,(Note 3),tbsp
102,4 - 8,Banh Mi ! (Vietnamese sandwich),"Thi Nguoi (""pink ham"") OR brawn","(aka head cheese, Note 4)",slices
103,4 - 8,Banh Mi ! (Vietnamese sandwich),Cha Lua Vietnamese pork loaf OR chicken loaf,(Note 5),slices
104,4 - 8,Banh Mi ! (Vietnamese sandwich),roast or grilled pork cold cuts,(Note 6),slices
105,1.5,Banh Mi ! (Vietnamese sandwich),fresh coriander/cilantro sprigs,(Note 7),cups
106,2,Banh Mi ! (Vietnamese sandwich),cucumbers,finely sliced lengthwise into long strips,
107,4,Banh Mi ! (Vietnamese sandwich),green onion stems,cut into the length of the rolls,
108,2,Banh Mi ! (Vietnamese sandwich),red chillies,finely sliced (or more!) (or less...),
109,2,Banh Mi ! (Vietnamese sandwich),Maggi Seasoning,for drizzling (Note 8),tsp
110,4,Banh Mi ! (Vietnamese sandwich),medium carrots,"peeled cut into 2-3mm / 1/10"" batons",
111,1 1/2 cups (375ml) ,Banh Mi ! (Vietnamese sandwich),hot water,boiled,
112,1/2 cup (100g),Banh Mi ! (Vietnamese sandwich),white sugar,,
113,4,Banh Mi ! (Vietnamese sandwich),salt,,tsp
114,3/4 cup (185ml),Banh Mi ! (Vietnamese sandwich),rice wine vinegar,(sub apple cider vinegar),
115,,Banh Mi ! (Vietnamese sandwich),Pork meatballs for Banh Mi,(Note 9),
116,,Banh Mi ! (Vietnamese sandwich),Shredded rotisserie or poached chicken,(Note 10),
