meal,servings,name,amount,unit,notes
Mexican Corn Salad,6,corn cut from the cob (~4 large ears),5,cups,"(or frozen corn, not thawed, Note 1)"
Mexican Corn Salad,6,butter,2 tbsp / 30g,,
Mexican Corn Salad,6,garlic cloves,2,,minced
Mexican Corn Salad,6,each salt and pepper,1/2,tsp,
Mexican Corn Salad,6,mayonnaise,1/4,cup,(can cut down to 2 tbsp)
Mexican Corn Salad,6,sour cream,1/4,cup,(or yoghurt)
Mexican Corn Salad,6,parmesan cheese,1/2,cup,finely grated (Note 1)
Mexican Corn Salad,6,Jalapeno,1,tbsp,deseeded and finely chopped (optional)
Mexican Corn Salad,6,coriander / cilantro leaves,1,cup,roughly chopped
Mexican Corn Salad,6,green onion,1,cup,finely sliced (~2 stems)
Mexican Corn Salad,6,red onion,1/2,,finely chopped
Mexican Corn Salad,6,lime juice,2 – 3,tbsp,fresh (plus more to taste)
Mexican Corn Salad,6,Cotija or Feta,60g / 2 oz,,crumbled (optional) (Note 2)
Mexican Corn Salad,6,"Jalapeno slices, coriander/cilantro leaves, lime wedges",,,optional
Mexican Meatballs,4,beef mince,250g / 8oz,,(ground beef)
Mexican Meatballs,4,pork mince,250g / 8oz,,"(ground pork), or more beef (Note 1)"
Mexican Meatballs,4,red onion,1/2,,grated using a standard box grater
Mexican Meatballs,4,plain corn chips,50g / 1.75 oz,,sub breadcrumbs + 1/4 tsp salt (Note 2)
Mexican Meatballs,4,egg,1,,
Mexican Meatballs,4,coriander/cilantro,3,tbsp,finely chopped (sub chives or parsley)
Mexican Meatballs,4,parsley,3,tbsp,finely chopped (optional)
Mexican Meatballs,4,fresh jalapeño,2,tsp,seeds removed and finely minced (reduce/omit for not spicy)
Mexican Meatballs,4,Oil spray,,,(preferably olive oil)
Mexican Meatballs,4,ground cumin,1 1/2,tsp,
Mexican Meatballs,4,chipotle powder,1,tsp,"sub more smoked paprika, reduce for less spicy (Note 3)"
Mexican Meatballs,4,coriander powder,1,tsp,
Mexican Meatballs,4,garlic powder,1,tsp,"(sub 1/2 fresh garlic clove, finely grated)"
Mexican Meatballs,4,paprika,1/2,tsp,hot for spicy or sweet for not (or sub more Chipotle powder)
Mexican Meatballs,4,salt,1,tsp,
Mexican Meatballs,4,black pepper,1/2,tsp,
Mexican Meatballs,4,olive oil,2,tbsp,
Mexican Meatballs,4,garlic,2,cloves,finely minced
Mexican Meatballs,4,chipotle from a can of Chipotle in Adobo,1,,finely chopped – add another for extra flavour! (Note 4)
Mexican Meatballs,4,Adobo Sauce from a can of Chipotle in Adobo,1,tsp,(Note 4)
Mexican Meatballs,4,crushed tomato,800g / 24 oz,,
Mexican Meatballs,4,sugar,1,tsp,
Mexican Meatballs,4,coriander/cilantro,1,tbsp,roughly chopped
Mexican Meatballs,4,Coriander/cilantro leaves,,,whole
Mexican Meatballs,4,Shredded cheese,,,
Mexican Meatballs,4,Sour cream,,,
Mexican Meatballs,4,Guacamole,,,"(or just diced, sliced or mashed plain avocado)"
Mexican Meatballs,4,"Rice, for serving",,,(Note 
Beef Barbacoa - Mexican Pulled Beef,10,beef cheeks,2kg / 4 lb,,or chuck beef(see Note 1)
Beef Barbacoa - Mexican Pulled Beef,10,salt,1,tsp,kosher/cooking
Beef Barbacoa - Mexican Pulled Beef,10,black pepper,1,tsp,
Beef Barbacoa - Mexican Pulled Beef,10,vegetable oil,2,tbsp,for searing
Beef Barbacoa - Mexican Pulled Beef,10,bay leaves,4,,
Beef Barbacoa - Mexican Pulled Beef,10,chipotle chiles in adobo sauce,4,,(Note 2)
Beef Barbacoa - Mexican Pulled Beef,10,"dark ale (beer), or low sodium beef broth/stock",3/4,cup,(Note 3)
Beef Barbacoa - Mexican Pulled Beef,10,apple cider vinegar,1/2,cup,
Beef Barbacoa - Mexican Pulled Beef,10,lime juice,4,tbsp,
Beef Barbacoa - Mexican Pulled Beef,10,garlic cloves,6,,
Beef Barbacoa - Mexican Pulled Beef,10,ground cumin,4,tsp,
