meal,servings,name,amount,unit,notes
Supreme Soy Noodles (NEW recipe – finally!),4,fresh yellow or white noodles,500 g / 1 lb,,medium thickness (see Note 1)
Supreme Soy Noodles (NEW recipe – finally!),4,oil,2,tbsp,"(vegetable, canola, or peanut)"
Supreme Soy Noodles (NEW recipe – finally!),4,green onions,8,,"ends trimmed, cut into 7cm / 2.5” lengths, white parts separated from green parts"
Supreme Soy Noodles (NEW recipe – finally!),4,garlic cloves,2,,finely chopped
Supreme Soy Noodles (NEW recipe – finally!),4,sesame oil,2,tsp,(toasted sesame oil)
Supreme Soy Noodles (NEW recipe – finally!),4,light soy sauce,2,tsp,(Note 2)
Supreme Soy Noodles (NEW recipe – finally!),4,dark soy sauce,1,tbsp,(Note 2)
Supreme Soy Noodles (NEW recipe – finally!),4,oyster sauce,1,tbsp,(Note 3)
Supreme Soy Noodles (NEW recipe – finally!),4,mirin,1,tbsp,(Note 4 for subs)
Honey Prawns – stays crispy!,4,prawns/shrimp,300g/ 10oz,,peeled with tail on (600g/1.2lb whole unpeeled) (Note 1)
Honey Prawns – stays crispy!,4,kosher/cooking salt,1/2,tsp,(halve for table salt)
Honey Prawns – stays crispy!,4,cornflour/cornstarch,1/2,cup,
Honey Prawns – stays crispy!,4,cornflour/cornstarch,9,tbsp,(Note 2)
Honey Prawns – stays crispy!,4,flour,6,tbsp,plain/all-purpose
Honey Prawns – stays crispy!,4,baking powder,1/2,tsp,(NOT baking soda)
Honey Prawns – stays crispy!,4,salt,1/2,tsp,kosher/cooking (halve for table salt)
Honey Prawns – stays crispy!,4,"COLD soda water, club soda or seltzer water",2/3 cup + 1 tbsp,,"(NOT sparkling mineral water, Note 3)"
Honey Prawns – stays crispy!,4,vegetable or canola oil,3 – 4,cups,"(~4cm / 1.5"" depth in a pot)"
Honey Prawns – stays crispy!,4,honey,1/3 cup (100g),,
Honey Prawns – stays crispy!,4,glucose OR corn syrup (light),1.5 tbsp (25g),,(Note 4)
Honey Prawns – stays crispy!,4,light soy sauce,1,tbsp,(or all-purpose)
Honey Prawns – stays crispy!,4,Chinese cooking wine,2,tsp,(or mirin)
Honey Prawns – stays crispy!,4,Vermicelli rice noodles (optional),25g / 2 oz,,"a wad of it (not mung bean noodles, it must be rice noodles)"
Honey Prawns – stays crispy!,4,"Sesame seeds, finely sliced green onions",,,
Prawn (Shrimp) Stir Fry,3,light soy sauce,1 1/2,tbsp,"(sub all purpose soy, Note 1)"
Prawn (Shrimp) Stir Fry,3,Chinese cooking wine,1,tbsp,"(sub Mirin or dry sherry, Note 2)"
Prawn (Shrimp) Stir Fry,3,oyster sauce,2,tsp,(Note 3)
Prawn (Shrimp) Stir Fry,3,sesame oil,1/2,tsp,toasted (Note 4)
Prawn (Shrimp) Stir Fry,3,cornflour/cornstarch,1,tbsp,
Prawn (Shrimp) Stir Fry,3,white pepper,1/8,tsp,(sub black pepper)
Prawn (Shrimp) Stir Fry,3,water,3/4,cup,
Prawn (Shrimp) Stir Fry,3,oil,2,tbsp,"peanut, canola or vegetable"
Prawn (Shrimp) Stir Fry,3,medium prawns,250g / 8 oz,,"raw, peeled and deveined (equiv. 500g/1lb whole prawns, Note 5)"
Prawn (Shrimp) Stir Fry,3,onion,1/2,,"sliced, brown or white"
Prawn (Shrimp) Stir Fry,3,ginger,2,tsp,"finely julienned (~2cm / 0.7"" piece)"
Prawn (Shrimp) Stir Fry,3,garlic,2,tsp,finely chopped (~ 2 cloves)
