meal,servings,name,amount,unit,notes
Flan Pâtissier (French Custard Tart),4,milk,1 litre / 1 quart,,full fat
Flan Pâtissier (French Custard Tart),4,vanilla beans,2,,"seeds scraped, beans reserved (Note 1)"
Flan Pâtissier (French Custard Tart),4,caster sugar,1,cup,separated
Flan Pâtissier (French Custard Tart),4,egg yolks,120g / 4.2 oz,,"(~6 to 7 large eggs, 100 ml, Note 2)"
Flan Pâtissier (French Custard Tart),4,large egg,1,,(55 – 60g / 2 oz)
Flan Pâtissier (French Custard Tart),4,cornflour/cornstarch,7 tbsp (70g),,"(scoop and level, Note 3)"
Flan Pâtissier (French Custard Tart),4,unsalted butter,50g (5 tbsp),,cut into 1cm cubes (cold)
Flan Pâtissier (French Custard Tart),4,"butter puff pastry, FROZEN",2,sheets,"(25cm / 10"" squares, 185g/6oz each) (Note 4)"
Flan Pâtissier (French Custard Tart),4,egg yolk,1,,whisked
Flan Pâtissier (French Custard Tart),4,Butter,,,for greasing
Chicken Fricassée (quick French chicken stew),4,chicken drumsticks,4,,"(~150g/5oz each, Note 1)"
Chicken Fricassée (quick French chicken stew),4,chicken thighs,4,,"skin-on and bone-in (~250g/8oz each, Note 1)"
Chicken Fricassée (quick French chicken stew),4,salt,1,tsp,(cooking / kosher salt)
Chicken Fricassée (quick French chicken stew),4,black pepper,1/2,tsp,
Chicken Fricassée (quick French chicken stew),4,unsalted butter,4 tbsp / 60g,,
Chicken Fricassée (quick French chicken stew),4,white mushrooms,300g / 10oz,,"halved if small, or cut in 4 to 6 if large"
Chicken Fricassée (quick French chicken stew),4,medium brown onions,2,,sliced 0.6cm (1/2in) wide
Chicken Fricassée (quick French chicken stew),4,garlic cloves,2,,finely minced
Chicken Fricassée (quick French chicken stew),4,bay leaf,1,,fresh (sub dried)
Chicken Fricassée (quick French chicken stew),4,thyme sprigs,3,,(or 1/2 tsp dried thyme)
Chicken Fricassée (quick French chicken stew),4,flour,3,tbsp,plain / all-purpose
Chicken Fricassée (quick French chicken stew),4,white wine,1/2,cup,preferably chardonnay  (Note 2)
Chicken Fricassée (quick French chicken stew),4,chicken stock,3,cups,low sodium (preferably homemade!)
Chicken Fricassée (quick French chicken stew),4,salt,1/4,tsp,(cooking / kosher salt)
