meal,servings,name,amount,unit,notes
Spanakopita (Greek Spinach Pie),4,English spinach leaves,300g/10oz,,"trimmed from thick stems, thoroughly washed, dried, then chopped into 2.5cm/1"" pieces (Note 1)"
Spanakopita (Greek Spinach Pie),4,salt,1/2,tsp,
Spanakopita (Greek Spinach Pie),4,Greek feta,175g/6oz,,crumbled
Spanakopita (Greek Spinach Pie),4,Greek yoghurt,1/2,cup,
Spanakopita (Greek Spinach Pie),4,green onions / scallions,2,,finely sliced
Spanakopita (Greek Spinach Pie),4,egg,1,,
Spanakopita (Greek Spinach Pie),4,mint,2,tbsp,finely chopped
Spanakopita (Greek Spinach Pie),4,dill,1,tbsp,finely chopped
Spanakopita (Greek Spinach Pie),4,lemon zest,1/2,tsp,
Spanakopita (Greek Spinach Pie),4,lemon juice,1/2,tbsp,
Spanakopita (Greek Spinach Pie),4,garlic cloves,2,,finely chopped
Spanakopita (Greek Spinach Pie),4,nutmeg,1/2,tsp,freshly grated
Spanakopita (Greek Spinach Pie),4,black pepper,1/4,tsp,
Spanakopita (Greek Spinach Pie),4,salt,1/4,tsp,
Spanakopita (Greek Spinach Pie),4,cayenne pepper,1/4,tsp,
Spanakopita (Greek Spinach Pie),4,filo pastry,16,sheets,(Note 2)
Spanakopita (Greek Spinach Pie),4,butter,120g/ 8 tbsp,,melted
Spanakopita (Greek Spinach Pie),4,Greek Kefalotyri cheese,60g / 2/3 cup,,"finely grated (sub parmesan, Note 3)"
Spanakopita (Greek Spinach Pie),4,white sesame seeds,1/2,tsp,(or more black)
Spanakopita (Greek Spinach Pie),4,black sesame seeds,1/2,tsp,(or more white)
Pastitsio (Greek beef pasta bake),8,olive oil,2,tbsp,
Pastitsio (Greek beef pasta bake),8,garlic cloves,3,,finely minced
Pastitsio (Greek beef pasta bake),8,red onions,2,,finely chopped (sub yellow or brown onions)
Pastitsio (Greek beef pasta bake),8,beef mince (ground beef),1 kg / 2 lb,,
Pastitsio (Greek beef pasta bake),8,red wine,3/4,cup,dry (Note 1)
Pastitsio (Greek beef pasta bake),8,canned crushed tomato,800g / 28 oz,,
Pastitsio (Greek beef pasta bake),8,beef bouillon cubes,2,,crumbled (stock cubes)
Pastitsio (Greek beef pasta bake),8,tomato paste,2,tbsp,
Pastitsio (Greek beef pasta bake),8,white sugar,1,tsp,
Pastitsio (Greek beef pasta bake),8,bay leaf,1,,
Pastitsio (Greek beef pasta bake),8,cinnamon powder,1/2,tsp,
Pastitsio (Greek beef pasta bake),8,cinnamon stick,1,,(or extra 1/2 tsp cinnamon powder)
Pastitsio (Greek beef pasta bake),8,ground cloves,1/4,tsp,
Pastitsio (Greek beef pasta bake),8,salt,3/4,tsp,
Pastitsio (Greek beef pasta bake),8,black pepper,1,tsp,
Pastitsio (Greek beef pasta bake),8,butter,100g / 7 tbsp,,unsalted
Pastitsio (Greek beef pasta bake),8,flour,3/4,cup,plain/all purpose
Pastitsio (Greek beef pasta bake),8,milk,1 litre / 4 cups,,whole/full fat best but low fat ok
Pastitsio (Greek beef pasta bake),8,nutmeg,1/8,tsp,preferably freshly grated
Pastitsio (Greek beef pasta bake),8,salt,1/2,tsp,
Pastitsio (Greek beef pasta bake),8,Kefalotyri Greek cheese (sub Parmesan or Romano),100g / 3 oz,,finely shredded (Note 2)
Pastitsio (Greek beef pasta bake),8,egg yolks,2,,(egg whites are used in the pasta)
Pastitsio (Greek beef pasta bake),8,Pastitsio No. 2 pasta / Greek bucatini,400g / 14 oz,,"(sub small ziti, penne or normal bucatini, Note 3)"
Pastitsio (Greek beef pasta bake),8,feta,120g / 4 oz,,crumbled
Pastitsio (Greek beef pasta bake),8,egg whites,2,,(yolks used in Béchamel)
Pastitsio (Greek beef pasta bake),8,Kefalotyri Greek cheese (sub parmesan or Romano),75g / 3 oz,,finely grated (Note 2)
Greek Chicken Gyros recipe,4,chicken thigh fillets,2 lb / 1 kg ,,boneless skinless
Greek Chicken Gyros recipe,4,large garlic cloves,3,,minced (~ 3 tsp)
Greek Chicken Gyros recipe,4,white wine vinegar,1,tbsp,(or red wine or apple cider vinegar)
Greek Chicken Gyros recipe,4,lemon juice,3,tbsp,
Greek Chicken Gyros recipe,4,extra virgin olive oil,1,tbsp,
Greek Chicken Gyros recipe,4,Greek yogurt,3,tbsp,preferably full fat
Greek Chicken Gyros recipe,4,dried oregano,1 1/2,tbsp,
Greek Chicken Gyros recipe,4,salt,1,tsp,
Greek Chicken Gyros recipe,4,Black pepper,,,
Greek Chicken Gyros recipe,4,cucumbers,2,,(to make about 1/2 - 3/4 cup grated cucumber after squeezing out juice)
Greek Chicken Gyros recipe,4,Greek yoghurt,1 1/4,cups,preferably full fat
Greek Chicken Gyros recipe,4,lemon juice,1,tbsp,
Greek Chicken Gyros recipe,4,extra virgin olive oil,1,tbsp,(or more if you want richer)
Greek Chicken Gyros recipe,4,garlic clove,1,,minced
Greek Chicken Gyros recipe,4,salt,1/4,tsp,
Greek Chicken Gyros recipe,4,Black pepper,,,
Greek Chicken Gyros recipe,4,tomatoes,3,,desseeded and diced
Greek Chicken Gyros recipe,4,cucumbers,3,,diced
Greek Chicken Gyros recipe,4,red spanish onion,1/2,,peeled and finely chopped
Greek Chicken Gyros recipe,4,fresh parsley leaves,1/4,cup,(optional)
Greek Chicken Gyros recipe,4,Salt and pepper,,,
Greek Chicken Gyros recipe,4,to 6 pita breads or flat breads,4,,
Moussaka (Greek Beef and Eggplant Lasagna),6,eggplant (aubergines),1 kg / 2 lb,,"0.75cm / 0.3"" thick slices"
Moussaka (Greek Beef and Eggplant Lasagna),6,salt,1,tsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,olive oil,2 - 3,tbsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,olive oil,1,tbsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,onion,1,,"diced (brown, white, yellow)"
Moussaka (Greek Beef and Eggplant Lasagna),6,garlic cloves,3,,minced
Moussaka (Greek Beef and Eggplant Lasagna),6,ground beef or lamb (mince),1.4 lb / 700 g,,(Note 1)
Moussaka (Greek Beef and Eggplant Lasagna),6,red wine,1/2,cup,dry (optional)
Moussaka (Greek Beef and Eggplant Lasagna),6,crushed tomatoes,14 oz /400g ,,
Moussaka (Greek Beef and Eggplant Lasagna),6,tomato paste,3,tbsp,
