meal,servings,name,amount,unit,notes
Vindaloo,4,beef chuck,800g / 1.6 lb,,cut into 3cm / 1.2″ cubes (Note 1)
Vindaloo,4,salt,1 1/2,tsp,
Vindaloo,4,Kashmiri chilli powder – TEST spiciness before using! ,6,tbsp,(Note 2)
Vindaloo,4,coriander seeds,2,tsp,
Vindaloo,4,cumin seeds,3,tsp,
Vindaloo,4,cloves,4,,
Vindaloo,4,cardamom pods,4,,(green)
Vindaloo,4,cinnamon powder,2,tsp,
Vindaloo,4,black peppercorns,1/2,tsp,
Vindaloo,4,fresh ginger,2,tbsp,roughly chopped
Vindaloo,4,garlic cloves,10,,"(yes, 10!)"
Vindaloo,4,brown sugar,1,tsp,
Vindaloo,4,fenugreek seeds,1,tsp,(Note 3)
Vindaloo,4,turmeric powder,1/4,tsp,
Vindaloo,4,white vinegar,7,tbsp,
Vindaloo,4,water,2,cups,
Vindaloo,4,ghee or unsalted butter,50g / 3 tbsp,,(Note 4)
Vindaloo,4,onion,1,,"finely chopped (brown, yellow, white)"
Vindaloo,4,ginger,2,tsp,finely grated
Vindaloo,4,garlic cloves,4,,finely minced
Vindaloo,4,black mustard seeds,1 1/2,tsp,(Note 5)
Vindaloo,4,tomato paste,2,tbsp,
Vindaloo,4,curry leaves,10,,fresh (Note 6)
Vindaloo,4,beef stock,2,cups,"low sodium (if using homemade, add 1/2 tsp salt)"
Vindaloo,4,coriander/cilantro leaves,2,tbsp,roughly chopped
Pakora (Indian Vegetable Fritters),40,chickpea flour,2 1/4,cups,(Note 1)
Pakora (Indian Vegetable Fritters),40,turmeric powder,1,tsp,
Pakora (Indian Vegetable Fritters),40,cumin powder,1,tsp,
Pakora (Indian Vegetable Fritters),40,coriander powder,1,tsp,
Pakora (Indian Vegetable Fritters),40,fenugreek powder,1,tsp,(Note 2)
Pakora (Indian Vegetable Fritters),40,chilli powder,1/2,tsp,"(pure chilli powder, Note 3)"
Pakora (Indian Vegetable Fritters),40,salt,2,tsp,(cooking/kosher salt)
Pakora (Indian Vegetable Fritters),40,water,3/4 cups + 2 1/2 tbsp,,
Pakora (Indian Vegetable Fritters),40,onions,1 1/2,cups,grated using standard box grater (~1 1/2 onions)
Pakora (Indian Vegetable Fritters),40,potato,2,cups,"(~1 large), peeled and grated using standard box grater (Note 4)"
Pakora (Indian Vegetable Fritters),40,cauliflower,2 1/2,cups,"(~1/4 large head), finely chopped into rice size pieces (or grate)"
Pakora (Indian Vegetable Fritters),40,large red chillies,2,,"(cayenne peppers), finely chopped (adjust spiciness to taste, or leave them out)"
Pakora (Indian Vegetable Fritters),40,fresh ginger,1,tbsp,finely grated
Pakora (Indian Vegetable Fritters),40,coriander/cilantro leaves,2,tbsp,finely chopped
Pakora (Indian Vegetable Fritters),40,vegetable or canola oil,3 – 4,cups,(4cm / 1.5″ depth in pot)
Pakora (Indian Vegetable Fritters),40,mint leaves,2,cups,
Pakora (Indian Vegetable Fritters),40,coriander/cilantro leaves,1,cup,
