meal,servings,name,amount,unit,notes
Galbi - Korean BBQ Marinated Beef Short Ribs,4,"beef short ribs, butterflied Korean style (pictured)",1 kg/ 2lb,,or thinly sliced through the bone (Note 1 for subs)
Galbi - Korean BBQ Marinated Beef Short Ribs,4,vegetable oil,1,tbsp,for cooking
Galbi - Korean BBQ Marinated Beef Short Ribs,4,soy sauce,1/3,cup,"(all purpose or light soy, not dark or sweet)"
Galbi - Korean BBQ Marinated Beef Short Ribs,4,brown sugar,1/4,cup,
Galbi - Korean BBQ Marinated Beef Short Ribs,4,mirin,2,tbsp,(Note 2)
Galbi - Korean BBQ Marinated Beef Short Ribs,4,onion,1/4,cup,finely grated (including juice)
Galbi - Korean BBQ Marinated Beef Short Ribs,4,nashi pear,1/4,cup,"finely grated including juice (sub normal pear or any red apple, Note 3)"
Galbi - Korean BBQ Marinated Beef Short Ribs,4,garlic,2,tsp,finely grated
Galbi - Korean BBQ Marinated Beef Short Ribs,4,ginger,2,tsp,finely grated
Galbi - Korean BBQ Marinated Beef Short Ribs,4,water,2,tbsp,
Galbi - Korean BBQ Marinated Beef Short Ribs,4,toasted sesame oil,1,tbsp,(Note 4)
Galbi - Korean BBQ Marinated Beef Short Ribs,4,black pepper,1,tsp,
Galbi - Korean BBQ Marinated Beef Short Ribs,4,"Green onion, sesame seeds, coriander/cilantro leaves",,,for garnish
Galbi - Korean BBQ Marinated Beef Short Ribs,4,Kimchi Fried Rice,,,
Galbi - Korean BBQ Marinated Beef Short Ribs,4,Smashed Cucumbers,,,
Kimchi Fried Rice,4,sesame oil,2,tsp,"toasted, separated (1 tsp + 1 tsp)"
Kimchi Fried Rice,4,garlic cloves,2,,finely chopped
Kimchi Fried Rice,4,enoki mushrooms,200g/7oz,,(Note 1)
Kimchi Fried Rice,4,oil,1,tbsp,"vegetable, peanut or canola"
Kimchi Fried Rice,4,gochujang,1,tbsp,"(Korean chilli paste, Note 2)"
Kimchi Fried Rice,4,(packed) kimchi,1,cup,(Note 3)
Kimchi Fried Rice,4,kimchi juice,1/4,cup,from the kimchi above (Note 3)
Kimchi Fried Rice,4,cooked,3,cups,day old white rice (Note 4)
Kimchi Fried Rice,4,Fried egg,,,"runny yolk, sunny-side up"
Kimchi Fried Rice,4,Black sesame seeds,,,
Kimchi Fried Rice,4,Green onions,,,finely sliced
Kimchi Fried Rice,4,Crispy seaweed strips,,,(Note 5)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,pork butt / shoulder,3.5-4 kg/ 7-8 lb,,bone in & skinless (Note 1)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,white sugar,1/2 cup (110g),,
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,kosher or cooking salt (NOT table salt),1/2 cup (115g),,(Note 2)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,kosher or cooking salt (NOT table salt),1,tbsp,(Note 2)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,brown sugar,7,tbsp,light or normal (not dark)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,scallions,2.5,cups,"thinly sliced (both green and white parts, ~5-6 stems)"
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,fresh ginger,1/2,cup,peeled and finely grated (Note 3)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,canola oil,1/3,cup,(Note 4)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,light soy sauce,1.5,tsp,"(or all purpose, not dark soy sauce Note 5)"
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,sherry vinegar,1,teaspoon,(Note 6)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,kosher or cooking salt ,1/2,tsp,to taste (Note 2)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,ssamjang,2,tbsp,(Note 8)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,gochujang,1,tbsp,(Note 8)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,sherry vinegar,5,tsp,(Note 6)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,canola oil,2,tbsp,(Note 4)
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,water,1,tbsp,
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,white sugar,1,tsp,
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,heads butter/bib lettuce,4 - 5,,"(40 - 50+ leaves, Note 9)"
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,cooked white rice,3,cups,
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,kimchi,500g/1lb ,,
Momofuku Bossam - Korean Slow Cooked Pork Roast,10,+ oysters,12,,"raw, in shell (optional, Note 10)"
Bibimbap! (Korean Rice Bowl),4,cooked white rice,4,cups,preferably short grain (Note 1)
