meal,servings,name,amount,unit,notes
Spanish Paella,5,olive oil,1 - 2,tbsp,
Spanish Paella,5,chorizo (2 pieces),7 oz / 200g ,,"sliced 1/2 cm / 1/5"" thick (Note 1)"
Spanish Paella,5,squid (calamari),200g / 6 oz ,,"cut into 7mm / 1/4"" thick rings (Note 2)"
Spanish Paella,5,onion,1,,"diced (brown, white, yellow)"
Spanish Paella,5,garlic cloves,3,,minced
Spanish Paella,5,red capsicum / bell pepper,1,,diced
Spanish Paella,5,paella rice,1 1/2,cups,"(""Bomba"", ""Valencia"" or ""Calasparra"" rice) (Note 3)"
Spanish Paella,5,"juicy ripe tomatoes, peeled and diced",2,,OR 3/4 cup canned crushed tomato (Note 4)
Spanish Paella,5,chicken thigh fillets,300g / 10 oz,,"cut into 1.5"" / 3.5cm pieces"
Spanish Paella,5,chicken broth/stock (not low sodium),3 1/2 ,cups,or homemade seafood broth (Note 5)
Spanish Paella,5,saffron threads,1,tsp,"(or 1/4 tsp ground saffron, Note 6)"
Spanish Paella,5,frozen peas,1,cup,
Spanish Paella,5,medium / large prawns,12- 16,,whole (shell on) (Note 7)
Spanish Paella,5,large mussels,12,,cleaned & check freshness (Note 8)
Spanish Paella,5,Fresh parsley,,,chopped
Spanish Paella,5,Lemons,2,,cut into wedges
Churros Recipe,12,caster / superfine sugar,1/4,cup,
Churros Recipe,12,ground cinnamon,2,tsp,
Churros Recipe,12,"flour, plain / all purpose",1,cup,(Note 1)
Churros Recipe,12,baking powder,1,tsp,
Churros Recipe,12,of salt,,Pinch,
Churros Recipe,12,"vegetable, canola or olive oil",1,tbsp,(not extra virgin olive oil)
Churros Recipe,12,boiling water,1,cup,
Churros Recipe,12,vegetable or canola oil,2,cups+,for frying
Churros Recipe,12,dark chocolate or semi sweet chocolate chips,1/2,cup,(Note 2)
Churros Recipe,12,thickened / heavy cream,1/2,cup,(heavy cream)
Greek Chicken Gyros recipe,4,chicken thigh fillets,2 lb / 1 kg ,,boneless skinless
Greek Chicken Gyros recipe,4,large garlic cloves,3,,minced (~ 3 tsp)
Greek Chicken Gyros recipe,4,white wine vinegar,1,tbsp,(or red wine or apple cider vinegar)
Greek Chicken Gyros recipe,4,lemon juice,3,tbsp,
Greek Chicken Gyros recipe,4,extra virgin olive oil,1,tbsp,
Greek Chicken Gyros recipe,4,Greek yogurt,3,tbsp,preferably full fat
Greek Chicken Gyros recipe,4,dried oregano,1 1/2,tbsp,
Greek Chicken Gyros recipe,4,salt,1,tsp,
Greek Chicken Gyros recipe,4,Black pepper,,,
Greek Chicken Gyros recipe,4,cucumbers,2,,(to make about 1/2 - 3/4 cup grated cucumber after squeezing out juice)
Greek Chicken Gyros recipe,4,Greek yoghurt,1 1/4,cups,preferably full fat
Greek Chicken Gyros recipe,4,lemon juice,1,tbsp,
Greek Chicken Gyros recipe,4,extra virgin olive oil,1,tbsp,(or more if you want richer)
Greek Chicken Gyros recipe,4,garlic clove,1,,minced
Greek Chicken Gyros recipe,4,salt,1/4,tsp,
Greek Chicken Gyros recipe,4,Black pepper,,,
Greek Chicken Gyros recipe,4,tomatoes,3,,desseeded and diced
Greek Chicken Gyros recipe,4,cucumbers,3,,diced
Greek Chicken Gyros recipe,4,red spanish onion,1/2,,peeled and finely chopped
Greek Chicken Gyros recipe,4,fresh parsley leaves,1/4,cup,(optional)
Greek Chicken Gyros recipe,4,Salt and pepper,,,
Greek Chicken Gyros recipe,4,to 6 pita breads or flat breads,4,,
Swedish Meatballs (homemade Ikea Meatballs),5,white sandwich bread,2,slices,"crusts removed, chopped into small cubes (Note 1)"
Swedish Meatballs (homemade Ikea Meatballs),5,onion,1,,"small (brown, white or yellow)"
Swedish Meatballs (homemade Ikea Meatballs),5,ground beef (mince),300g / 10 oz,,
Swedish Meatballs (homemade Ikea Meatballs),5,ground pork (mince),300g / 10 oz,,or sub with more beef (Note 2)
Swedish Meatballs (homemade Ikea Meatballs),5,egg,1,,
Swedish Meatballs (homemade Ikea Meatballs),5,ground nutmeg,1/4,tsp,preferably freshly grated
Swedish Meatballs (homemade Ikea Meatballs),5,All Spice powder,1/4,tsp,(Note 3)
Swedish Meatballs (homemade Ikea Meatballs),5,black pepper,1/4,tsp,
Swedish Meatballs (homemade Ikea Meatballs),5,salt,3/4,tsp,
Swedish Meatballs (homemade Ikea Meatballs),5,oil,1,tbsp,
Swedish Meatballs (homemade Ikea Meatballs),5,butter,40g / 3 tbsp,,unsalted
Swedish Meatballs (homemade Ikea Meatballs),5,flour,3,tbsp,
Swedish Meatballs (homemade Ikea Meatballs),5,beef broth/stock ,2,cups,"(salt reduced), or sub with chicken"
Swedish Meatballs (homemade Ikea Meatballs),5,heavy / thickened cream,1/2,cup,(Note 4)
Mediterranean Baked Chicken Dinner,4,"bone in, skin on chicken thighs and drumsticks",1kg / 2lb,,(Note 1)
Mediterranean Baked Chicken Dinner,4,lemon juice,1/2 cup (125 ml),,
Mediterranean Baked Chicken Dinner,4,garlic,6,cloves,minced
Mediterranean Baked Chicken Dinner,4,Dijon mustard,2,tsp,(Optional - Note 2)
Mediterranean Baked Chicken Dinner,4,honey or 1 tbsp sugar,2,tbsp,(or maple or other sweetener)
Mediterranean Baked Chicken Dinner,4,dried oregano,1,tbsp,
Mediterranean Baked Chicken Dinner,4,paprika,1.5,tsp,
Mediterranean Baked Chicken Dinner,4,olive oil,1,tbsp,
Mediterranean Baked Chicken Dinner,4,EACH salt and pepper,1/2,tsp,
Mediterranean Baked Chicken Dinner,4,"smallish potatoes (7.5cm/3"" wide)",5,,quartered (Note 3)
Mediterranean Baked Chicken Dinner,4,red onions,2,,quartered
Mediterranean Baked Chicken Dinner,4,chicken broth/stock,1 cup (250ml),,low sodium
Mediterranean Baked Chicken Dinner,4,cherry tomatoes,250g/8oz,,(whole)
Mediterranean Baked Chicken Dinner,4,EACH salt and pepper,1/2,tsp,
Mediterranean Baked Chicken Dinner,4,Olive oil (or oil spray),1,tbsp,
Mediterranean Baked Chicken Dinner,4,Fresh oregano,,,for garnish (optional)
Moussaka (Greek Beef and Eggplant Lasagna),6,eggplant (aubergines),1 kg / 2 lb,,"0.75cm / 0.3"" thick slices"
Moussaka (Greek Beef and Eggplant Lasagna),6,salt,1,tsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,olive oil,2 - 3,tbsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,olive oil,1,tbsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,onion,1,,"diced (brown, white, yellow)"
Moussaka (Greek Beef and Eggplant Lasagna),6,garlic cloves,3,,minced
Moussaka (Greek Beef and Eggplant Lasagna),6,ground beef or lamb (mince),1.4 lb / 700 g,,(Note 1)
Moussaka (Greek Beef and Eggplant Lasagna),6,red wine,1/2,cup,dry (optional)
Moussaka (Greek Beef and Eggplant Lasagna),6,crushed tomatoes,14 oz /400g ,,
Moussaka (Greek Beef and Eggplant Lasagna),6,tomato paste,3,tbsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,beef broth/stock,1,cup,(Note 2)
Moussaka (Greek Beef and Eggplant Lasagna),6,beef bouillon cube,1,,crumbled (or 1 tsp powder)
Moussaka (Greek Beef and Eggplant Lasagna),6,bay leaves,2,,
Moussaka (Greek Beef and Eggplant Lasagna),6,sugar (any),1.5,tsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,dried oregano,2,tsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,cinnamon,1/2,tsp,"(or 1 stick, use whole)"
Moussaka (Greek Beef and Eggplant Lasagna),6,salt,3/4,tsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,butter,4 tbsp (60g),,
Moussaka (Greek Beef and Eggplant Lasagna),6,plain flour,5,tbsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,milk,2 1/2,cups,(any fat %)
Moussaka (Greek Beef and Eggplant Lasagna),6,"nutmeg, freshly grated (optional)",1/4,tsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,"parmesan cheese, grated",1/2,cup,(or Kefalotiri Cheese) (Note 3)
Moussaka (Greek Beef and Eggplant Lasagna),6,egg,1,,
Moussaka (Greek Beef and Eggplant Lasagna),6,egg yolk,1,,
Moussaka (Greek Beef and Eggplant Lasagna),6,"Vegeta, vegetable or chicken stock powder",1 1/4,tsp,(or salt) (Note 4)
Moussaka (Greek Beef and Eggplant Lasagna),6,pepper,1/4,tsp,
Moussaka (Greek Beef and Eggplant Lasagna),6,panko breadcrumbs,1/3,cup,(Note 5)
Gozleme!,4,flour,2.5 cups (375g) ,,plain/all purpose (GF Note 4)
Gozleme!,4,extra virgin olive oil,1/3 cup (85ml) ,,
Gozleme!,4,water,3/4 cup (185ml) ,,
Gozleme!,4,salt,1/2,tsp,
Gozleme!,4,baby spinach,300g / 10oz ,,
Gozleme!,4,garlic cloves,2,,minced
Gozleme!,4,eggs,2,,
Gozleme!,4,black pepper,1,tsp,
Gozleme!,4,Danish feta,300g / 10 oz ,,"(soft feta, Note 2)"
Gozleme!,4,shredded mozzarella cheese,2 cups (200g) ,,(Note 3)
Gozleme!,4,olive oil,1,tbsp,
Gozleme!,4,garlic cloves,2,,minced
Gozleme!,4,onion,1,,finely chopped
Gozleme!,4,beef or lamb mince,500g / 1 lb ,,(ground)
Gozleme!,4,capsicum / bell pepper,1,,chopped
Gozleme!,4,baby spinach,90g / 3 oz ,,
Gozleme!,4,cumin powder,1.5,tsp,
Gozleme!,4,paprika,1,tsp,
Gozleme!,4,cayenne,1/2,tsp,(adjust spiciness to taste)
Gozleme!,4,each salt and pepper,3/4,tsp,
Gozleme!,4,water,1,tbsp,
Gozleme!,4,Danish feta,120g / 4 oz ,,(Note 2)
Gozleme!,4,olive oil ,1 - 1.5,tbsp,per gozleme
Gozleme!,4,Lemon wedges,,,(optional)
Greek Chicken,4,drumsticks and chicken thighs,1.25 kg / 2.5 lb ,,bone in skin on (Note 1)
Greek Chicken,4,garlic cloves,6,,minced (~ 2 tbsp)
Greek Chicken,4,white wine vinegar,2,tbsp,(or red wine or apple cider vinegar)
Greek Chicken,4,lemon juice,1/2 cup / 125 ml,,
Greek Chicken,4,extra virgin olive oil,2,tbsp,
Greek Chicken,4,Greek yogurt,3/4,cup,(I use Farmers Union)
Greek Chicken,4,dried oregano,1 1/2,tbsp,
Greek Chicken,4,salt,1,tsp,
Greek Chicken,4,black pepper,1/2,tsp,
Greek Chicken,4,Plain Greek yogurt or Tzatziki,,,
Greek Chicken,4,Fresh oregano leaves,,,(optional)
Homemade Chicken Doner Kebab recipe,4,chicken thighs,1 kg / 2 lb ,,skinless and boneless (Note 1)
Homemade Chicken Doner Kebab recipe,4,Olive oil,,,for drizzling
Homemade Chicken Doner Kebab recipe,4,plain yoghurt,1,cup,unsweetened (I use Greek)
Homemade Chicken Doner Kebab recipe,4,garlic cloves minced,3,,
Homemade Chicken Doner Kebab recipe,4,coriander powder,1 1/2,tsp,
Homemade Chicken Doner Kebab recipe,4,cumin powder,2,tsp,
Homemade Chicken Doner Kebab recipe,4,paprika,2,tsp,
Homemade Chicken Doner Kebab recipe,4,cayenne pepper,1,tsp,optional
Homemade Chicken Doner Kebab recipe,4,onion powder,1 1/2,tsp,
Homemade Chicken Doner Kebab recipe,4,black pepper,1/2,tsp,
Homemade Chicken Doner Kebab recipe,4,tomato paste,2 1/2,tbsp,
Homemade Chicken Doner Kebab recipe,4,salt,1 1/2,tsp,
Homemade Chicken Doner Kebab recipe,4,lemon juice,1,tbsp,
Homemade Chicken Doner Kebab recipe,4,olive oil,2,tbsp,
Homemade Chicken Doner Kebab recipe,4,Lebanese bread / flatbreads / pita bread,,,warmed
Homemade Chicken Doner Kebab recipe,4,Finely sliced iceberg lettuce,,,
Homemade Chicken Doner Kebab recipe,4,Tomato slices,,,
Homemade Chicken Doner Kebab recipe,4,Hummus,,,(or Note 2 for simple Yoghurt Sauce)
Homemade Chicken Doner Kebab recipe,4,Tabbouleh,,,"(optional, Note 3)"
Homemade Chicken Doner Kebab recipe,4,Red onion slices,,,
Homemade Chicken Doner Kebab recipe,4,Grated cheese,,,
Homemade Chicken Doner Kebab recipe,4,Chilli Sauce,,,"(I use Sriracha, it's perfect)"
Homemade Chicken Doner Kebab recipe,4,Mejadra,,,"(Middle Eastern Rice with Lentils), for Kebab Plate"
Israeli Couscous Salad,4,olive oil,2,tsp,
Israeli Couscous Salad,4,garlic clove,1,,minced
Israeli Couscous Salad,4,small onion,½,,finely chopped
Israeli Couscous Salad,4,Israeli Couscous,250 g / 8 oz / 1.5 cups ,,(Note 1)
Israeli Couscous Salad,4,vegetable or chicken broth,1 ½ cups / 375 ml,,
Israeli Couscous Salad,4,water,1 cup / 250 ml,,
Israeli Couscous Salad,4,cucumbers,2,,diced (about 2 cups)
Israeli Couscous Salad,4,cherry tomatoes,250 g / 8 oz ,,halved (about 2 cups)
Israeli Couscous Salad,4,baby spinach,3,cups,finely sliced (Note 2)
Israeli Couscous Salad,4,coriander / cilantro,¼,cup,finely chopped (or sub with parsley)
Israeli Couscous Salad,4,dill,¼,cup,finely chopped
Israeli Couscous Salad,4,lemon zest,2,tsp,
Israeli Couscous Salad,4,lemon juice,2,tbsp,
Israeli Couscous Salad,4,extra virgin olive oil,1/4 cup / 65 ml ,,
Israeli Couscous Salad,4,Dijon mustard,1,tsp,
Israeli Couscous Salad,4,garlic clove,1,,minced
Israeli Couscous Salad,4,sugar,1,tsp,optional
Israeli Couscous Salad,4,salt + black pepper,½,tsp,
Healthy Vegetable Soup (Extra Tasty!),4,olive oil,2,tsp,
Healthy Vegetable Soup (Extra Tasty!),4,onion,1,,finely chopped
Healthy Vegetable Soup (Extra Tasty!),4,garlic cloves,2,,minced
Healthy Vegetable Soup (Extra Tasty!),4,dried oregano,1,tbsp,
Healthy Vegetable Soup (Extra Tasty!),4,fennel seeds,2,tsp,(optional)
Healthy Vegetable Soup (Extra Tasty!),4,medium carrots,2,,finely chopped
Healthy Vegetable Soup (Extra Tasty!),4,large celery stalk/rib,1,,finely chopped
Healthy Vegetable Soup (Extra Tasty!),4,red capsicums / bell peppers,2,,cut into 2 cm / 4/5” pieces
Healthy Vegetable Soup (Extra Tasty!),4,cabbage,5,cups,cut into 3 cm / 1.2” pieces (about 400g/14oz)
Healthy Vegetable Soup (Extra Tasty!),4,crushed tomato,800g / 28 oz ,,
Healthy Vegetable Soup (Extra Tasty!),4,vegetable or chicken broth,3 cups (750 ml),,(low fat!)
Healthy Vegetable Soup (Extra Tasty!),4,smoked paprika,1,tbsp,(or any paprika)
Healthy Vegetable Soup (Extra Tasty!),4,cayenne pepper,1,tsp,(adjust spiciness to taste)
Healthy Vegetable Soup (Extra Tasty!),4,Salt and pepper to taste,,,
Healthy Vegetable Soup (Extra Tasty!),4,lemon – zest + juice to taste,1,,
Healthy Vegetable Soup (Extra Tasty!),4,Finely chopped parsley,,,
Greek Meatballs (Keftedes),5,"red onion, grated",1,,
Greek Meatballs (Keftedes),5,beef mince (ground beef) (or lamb!),500g / 1 lb,,
Greek Meatballs (Keftedes),5,"pork mince (ground pork), or more beef",200g / 6.5oz,,
Greek Meatballs (Keftedes),5,"garlic cloves, minced",2,,
Greek Meatballs (Keftedes),5,panko breadcrumbs (or use normal),1 cup / 60g,,
Greek Meatballs (Keftedes),5,egg,1,,
Greek Meatballs (Keftedes),5,"fresh parsley, finely chopped",1/4,cup,
Greek Meatballs (Keftedes),5,"large mint leaves, finely chopped (spearmint if you can, it's authentic)",6,,
Greek Meatballs (Keftedes),5,dried oregano,1/2,tsp,
Greek Meatballs (Keftedes),5,extra virgin olive oil,1,tbsp,
Greek Meatballs (Keftedes),5,salt,3/4,tsp,
Greek Meatballs (Keftedes),5,Black pepper,,,
Greek Meatballs (Keftedes),5,flour,1/2,cup,any white
Greek Meatballs (Keftedes),5,olive oil,3,tbsp,
Greek Meatballs (Keftedes),5,Finely chopped parsley,,,"optional, for garnish"
Greek Meatballs (Keftedes),5,Tzatziki (Note 5) or Greek yoghurt,,,
Greek Lemon Orzo Salad (Risoni),6,risoni / orzo pasta,1 cup / 200 g ,,
Greek Lemon Orzo Salad (Risoni),6,cherry tomatoes,350 g / 12 oz ,,halved (or 2 large tomatoes)
Greek Lemon Orzo Salad (Risoni),6,Lebanese / Persian cucumbers,2,,diced
Greek Lemon Orzo Salad (Risoni),6,firm feta,150 g / 5 oz ,,"cut into 1/2cm/ 1/2"" cubes"
Greek Lemon Orzo Salad (Risoni),6,red onion,1/4 - 1/2,,cut into wedges and sliced thinly
Greek Lemon Orzo Salad (Risoni),6,green capsicum/bell pepper,1,,"cut into 3 cm / 2.25"" strips (Note 1)"
Greek Lemon Orzo Salad (Risoni),6,whole black olives,150 g / 5 oz ,,seed in (adjust qty to taste)
Greek Lemon Orzo Salad (Risoni),6,dried oregano,1 1/2,tsp,
Greek Lemon Orzo Salad (Risoni),6,lemon zest,2,tsp,
Greek Lemon Orzo Salad (Risoni),6,lemon juice,3,tbsp,
Greek Lemon Orzo Salad (Risoni),6,olive oil,5,tbsp,
