meal,servings,name,amount,unit,notes
Chicken Tagine,6,"dried apricot, halved",1,cup,(Note 1)
Chicken Tagine,6,chicken thighs,6,x 220g / 7 oz,bone-in skin-on (Note 2)
Chicken Tagine,6,salt,3/4,tsp,(cooking/kosher salt)
Chicken Tagine,6,olive oil,2,tbsp,
Chicken Tagine,6,onion,1,,"(brown/yellow), cut into 0.3 cm/ 1/8"" slices"
Chicken Tagine,6,garlic cloves,2,,finely minced
Chicken Tagine,6,cinnamon stick,1,,(sub 1/2 tsp powder)
Chicken Tagine,6,crushed tomato,400 g / 14 oz,,(1 can)
Chicken Tagine,6,canned chickpeas,400g / 14 oz,,drained (Note 10)
Chicken Tagine,6,preserved lemon skin,1,tbsp,finely minced (Note 3)
Chicken Tagine,6,"chicken stock, low-sodium",2 1/2,cups,(or homemade)
Chicken Tagine,6,cooking salt,1,tsp,
Chicken Tagine,6,ground cumin,3/4,tsp,
Chicken Tagine,6,ground ginger,3/4,tsp,
Chicken Tagine,6,black pepper,3/4,tsp,
Chicken Tagine,6,allspice powder,1/2,tsp,
Chicken Tagine,6,cinnamon powder,1/4,tsp,
Chicken Tagine,6,coriander powder,1/4,tsp,
Chicken Tagine,6,clove powder,1/8,tsp,
Chicken Tagine,6,Couscous – plain or with fruit and/or nuts,,,(recipe here)
Chicken Tagine,6,fresh coriander,2,tbsp,roughly chopped
Chicken Tagine,6,kalamata olives ,1,cup,(instead of apricots) (Note 7)
Chicken Tagine,6,slivered almonds,1/3,cup,"lightly toasted, for garnish (Note 8)"
Chicken Shawarma (Middle Eastern),4,chicken thigh fillets,1 kg / 2 lb,,skinless and boneless (Note 3)
Chicken Shawarma (Middle Eastern),4,large garlic clove,1,,minced (or 2 small cloves)
Chicken Shawarma (Middle Eastern),4,ground coriander,1,tbsp,
Chicken Shawarma (Middle Eastern),4,ground cumin,1,tbsp,
Chicken Shawarma (Middle Eastern),4,ground cardamon,1,tbsp,
Chicken Shawarma (Middle Eastern),4,ground cayenne pepper,1,tsp,(reduce to 1/2 tsp to make it not spicy)
Chicken Shawarma (Middle Eastern),4,smoked paprika,2,tsp,
Chicken Shawarma (Middle Eastern),4,salt,2,tsp,
Chicken Shawarma (Middle Eastern),4,Black pepper,,,
Chicken Shawarma (Middle Eastern),4,lemon juice,2,tbsp,
Chicken Shawarma (Middle Eastern),4,olive oil,3,tbsp,
Chicken Shawarma (Middle Eastern),4,Greek yoghurt,1,cup,
Chicken Shawarma (Middle Eastern),4,garlic,1,clove,crushed
Chicken Shawarma (Middle Eastern),4,cumin,1,tsp,
Chicken Shawarma (Middle Eastern),4,Squeeze of lemon juice,,,
Chicken Shawarma (Middle Eastern),4,Salt and pepper,,,
Chicken Shawarma (Middle Eastern),4,flatbreads,4,– 5,(Lebanese or pita bread orhomemade soft flatbreads)
Chicken Shawarma (Middle Eastern),4,Sliced lettuce,,,(cos or iceberg)
Chicken Shawarma (Middle Eastern),4,Tomato slices,,,
Chicken Shawarma (Middle Eastern),4,Red onion,,,finely sliced
Chicken Shawarma (Middle Eastern),4,Cheese,,,shredded (optional)
Chicken Shawarma (Middle Eastern),4,Hot sauce of choice,,,(optional)
Vegetable Tagine,8,cardamom powder,1,tbsp,
Vegetable Tagine,8,coriander powder,1,tbsp,
Vegetable Tagine,8,cumin powder,1,tbsp,
Vegetable Tagine,8,ground fennel seeds / fennel powder,1 1/2,tsp,
Vegetable Tagine,8,cayenne,1,tsp,(omit for non-spicy)
Vegetable Tagine,8,turmeric,2,tsp,
Vegetable Tagine,8,ground cloves,1/4,tsp,
Vegetable Tagine,8,ground ginger,1/4,tsp,
Vegetable Tagine,8,olive oil,5,tbsp,
Vegetable Tagine,8,red onion,1/2,,sliced; (sub any type of onion)
Vegetable Tagine,8,garlic clove,1,,finely minced
Vegetable Tagine,8,butternut pumpkin / squash,800g/1.6lb,,"(1/2 a small), peeled, cut into 2.5cm / 1"" cubes"
Vegetable Tagine,8,small eggplant,1,,cut into 2.5cm / 1/2″ cubes
Vegetable Tagine,8,cauliflower head,1/2,,"small, cut into bite size florets"
Vegetable Tagine,8,capsicum / bell pepper,1,,"cut into 2.5cm / 1"" pieces (red or yellow)"
Vegetable Tagine,8,tomatoes,2,,"seeds removed, cut into 1cm / 1/3″ dice"
Vegetable Tagine,8,water,3 1/2 cups,,
Vegetable Tagine,8,salt,2,tsp,
Vegetable Tagine,8,black pepper,1/2,tsp,
Vegetable Tagine,8,canned chickpeas,400g/ 14oz,,drained
Vegetable Tagine,8,green beans,200g / 60z,,"cut into 3.5cm / 1.5"" pieces (~2 cups cut)"
Vegetable Tagine,8,Zest of 1 lemon,,,
Vegetable Tagine,8,lemon juice,2,tbsp,
Vegetable Tagine,8,slivered almonds,1/2,cup,toasted
Vegetable Tagine,8,coriander / cilantro,1/4,cup,roughly chopped
Vegetable Tagine,8,Plain yogurt,,,
Vegetable Tagine,8,of paprika or cayenne pepper,,Pinch,
Couscous,6,couscous,2,cups,
Couscous,6,chicken or vegetable stock,2,cups,low sodium
Couscous,6,extra virgin olive oil,1,tbsp,
Couscous,6,lemon juice,1,tbsp,
Couscous,6,salt,1/2,tsp,
Couscous,6,coriander/cilantro,2,tbsp,finely chopped
Couscous,6,parsley,2,tbsp,finely chopped
Couscous,6,dried apricots,1/3,cup,chopped
Couscous,6,currants or sultanas,1/3,cup,
Couscous,6,slivered almonds,2,tbsp,toasted
Yotam Ottolenghi's Cauliflower Salad,5,large cauliflower or 2 small,1,,cut/broken into florets (~650g / 1.3 lb florets)
Yotam Ottolenghi's Cauliflower Salad,5,extra virgin olive oil,2,tbsp,
Yotam Ottolenghi's Cauliflower Salad,5,each salt and pepper,1/2,tsp,
Yotam Ottolenghi's Cauliflower Salad,5,celery stalk,1,,"cut into 0.5cm /  0.3"" slices on the diagonal"
Yotam Ottolenghi's Cauliflower Salad,5,hazelnuts,1/3,cup,"raw, skin on"
Yotam Ottolenghi's Cauliflower Salad,5,pomegranate,1/2,,seeds only (~1/3 cup)
Yotam Ottolenghi's Cauliflower Salad,5,parsley leaves,1,cup,lightly packed
Yotam Ottolenghi's Cauliflower Salad,5,extra virgin olive oil,2,tbsp,
Yotam Ottolenghi's Cauliflower Salad,5,cinnamon powder,1/3,tsp,(Note 2)
Yotam Ottolenghi's Cauliflower Salad,5,allspice,1/3,tsp,(Note 2)
Yotam Ottolenghi's Cauliflower Salad,5,sherry vinegar,1,tbsp,
Yotam Ottolenghi's Cauliflower Salad,5,maple syrup,1 1/2,tsp,(or honey or golden syrup)
Yotam Ottolenghi's Cauliflower Salad,5,each salt and pepper,1/4,tsp,
Roasted Pumpkin with Yogurt Sauce and Pine Nuts,4,pumpkin,1.2kg / 2.4 lb,,"skin on seeds in weight (or butternut squash or sweet potato, Note 1)"
Roasted Pumpkin with Yogurt Sauce and Pine Nuts,4,extra virgin olive oil,2,tbsp,
Roasted Pumpkin with Yogurt Sauce and Pine Nuts,4,garlic clove,1,,finely minced using garlic press
Roasted Pumpkin with Yogurt Sauce and Pine Nuts,4,each salt and pepper,1/2,tsp,
Roasted Pumpkin with Yogurt Sauce and Pine Nuts,4,Greek yogurt,3/4,cup,"(or other plain, non sweet yogurt)"
Roasted Pumpkin with Yogurt Sauce and Pine Nuts,4,small garlic clove,1/2,,finely minced using garlic press
Roasted Pumpkin with Yogurt Sauce and Pine Nuts,4,lemon juice,1,tbsp,
