meal,servings,name,amount,unit,notes
Pad See Ew (Thai Stir Fried Noodles),2,dried wide rice stick noodles,200g / 7 oz,,or 15 oz / 450g fresh wide flat rice noodles (Sen Yai) (Note 1)
Pad See Ew (Thai Stir Fried Noodles),2,dark soy sauce,2,tbsp,(Note 2)
Pad See Ew (Thai Stir Fried Noodles),2,oyster sauce,2,tbsp,
Pad See Ew (Thai Stir Fried Noodles),2,soy sauce,2,tsp,"(all purpose or light, Note 3)"
Pad See Ew (Thai Stir Fried Noodles),2,white vinegar,2,tsp,(plain white vinegar)
Pad See Ew (Thai Stir Fried Noodles),2,sugar,2,tsp,(any type)
Pad See Ew (Thai Stir Fried Noodles),2,water,2,tbsp,
Pad See Ew (Thai Stir Fried Noodles),2,peanut or vegetable oil,3,tbsp,separated
Pad See Ew (Thai Stir Fried Noodles),2,"garlic cloves, very finely chopped",2,cloves,
Pad See Ew (Thai Stir Fried Noodles),2,chicken thighs,1 cup / 150g / 5oz ,,"(boneless, skinless), sliced (Note 4)"
Pad See Ew (Thai Stir Fried Noodles),2,large egg,1,,
Pad See Ew (Thai Stir Fried Noodles),2,stems Chinese broccoli,4,,(Note 5)
Thai Black Sticky Rice Pudding,5,black glutinous rice,1,cup,(aka black sticky rice) (Note 1)
Thai Black Sticky Rice Pudding,5,white glutinous rice,4,tbsp,(white sticky rice) (Note 1)
Thai Black Sticky Rice Pudding,5,water,4,cups,
Thai Black Sticky Rice Pudding,5,pandan leaves,2,,folded and knotted (Note 2)
Thai Black Sticky Rice Pudding,5,palm sugar,1,cup (loosely packed),"(or brown sugar), grated with box grater (Note 3)"
Thai Black Sticky Rice Pudding,5,salt,1/2,tsp,
Thai Black Sticky Rice Pudding,5,coconut cream,1/2,cup,(very highly recommended)
Thai Black Sticky Rice Pudding,5,salt,1/8,tsp,
Thai Black Sticky Rice Pudding,5,shaved coconut,1/2,cup,"toasted, optional (Note 4)"
Thai Black Sticky Rice Pudding,5,Mango cubes or crushed peanuts,,,"for topping, optional"
Green Papaya Salad,4,garlic,2,tbsp,roughly chopped (10 normal or 4 large garlic cloves)
Green Papaya Salad,4,"bird eye chillies,",6,,"roughly chopped with seeds (use fewer for less spicy, Note 1)"
Green Papaya Salad,4,dried shrimp,6,tbsp,(Note 2)
Green Papaya Salad,4,palm sugar,1,cup,"grated using standard box grater, loosely packed (Note 3)"
Green Papaya Salad,4,lime juice,1/2,cup,
Green Papaya Salad,4,fish sauce,1/2,cup,
Green Papaya Salad,4,roasted peanuts,1,cup,unsalted
Green Papaya Salad,4,snake beans,20,,"cut in 5cm/2″ pieces (raw, Note 4)"
Green Papaya Salad,4,grape tomato,3,cups,cut in half  (~400g / 14oz)
Green Papaya Salad,4,green papaya,500g / 4 cups,,"shredded, TIGHTLY packed cups (~1 medium, 2/3 large, Note 5)"
Green Papaya Salad,4,Thai basil leaves,1/2,cup,(Note 6)
Thai Yellow Curry,4,dried red chillis,10,,"(~6cm/2.5"" long), chopped into 1cm / 0.5"" pieces (Note 1)"
Thai Yellow Curry,4,fresh birds eye chillis,1 – 4,,"deseeded, roughly (1 for extremely mild, 4 for fairly spicy, Note 2)"
Thai Yellow Curry,4,lemongrass stems,2,,(Note 3)
Thai Yellow Curry,4,eschalots,1 large or 2 small,,roughly chopped (~ 1/2 cup) (Note 4)
Thai Yellow Curry,4,fresh turmeric,2,tbsp,"finely grated (about 2cm / 0.8"" piece) (Note 5)"
Thai Yellow Curry,4,galangal,2,tbsp,"finely grated (about 2cm / 0.8"" piece) (Note 6)"
Thai Yellow Curry,4,garlic,8,cloves,roughly chopped
Thai Yellow Curry,4,Thai shrimp paste in bean oil,1 1/2,tbsp,(Note 7)
Thai Yellow Curry,4,ground coriander,1,tsp,
Thai Yellow Curry,4,ground cumin,1,tsp,
Thai Yellow Curry,4,ground cardamom,1/4,tsp,
Thai Yellow Curry,4,fenugreek powder,1/2,tsp,(Note 8)
Thai Yellow Curry,4,white pepper,1/8,tsp,(sub black)
Thai Yellow Curry,4,vegetable oil,3,tbsp,(or canola or peanut oil)
Thai Yellow Curry,4,medium potato,1,,"peeled, cut into 2.5cm / 1″ pieces x 1cm/ 0.4″ thick (Note 9)"
Thai Yellow Curry,4,small carrot,1,,"peeled, sliced into 5mm / 0.2″ slices on the diagonal"
Thai Yellow Curry,4,chicken stock,1,cup,low sodium
Thai Yellow Curry,4,coconut cream,300 ml / 10oz ,,(Note 10)
Thai Yellow Curry,4,fish sauce,4,tsp,plus more to taste (Note 11)
Thai Yellow Curry,4,white sugar,5,tsp,
Thai Yellow Curry,4,tamarind puree,2,tsp,(Note 12)
Thai Yellow Curry,4,prawns/shrimp,350g / 12oz,,"medium, peeled, tail on optional (700g/1.4lb unpeeled) (Note 13)"
Thai Yellow Curry,4,bamboo shoots,1/2,cup,"canned, drained, loosely packed (Note 14)"
Thai Yellow Curry,4,Thai basil leaves,16,,"(highly recommended, Note 15)"
Thai Yellow Curry,4,Red chilli,1,,"finely sliced (optional, use large for not spicy)"
Thai Yellow Curry,4,Crispy fried shallots,2,tbsp,"(optional, store bought, Note 16)"
Thai Yellow Curry,4,Jasmine rice,,,
Beef Satay with Thai Peanut Sauce,12,bamboo skewers,13-16,,"16cm / 6.5"" long (Note 1)"
Beef Satay with Thai Peanut Sauce,12,beef rump steak (top sirloin in the US),600g / 1.2lb ,,"2.5 cm/1"" pieces (Note 2)"
Beef Satay with Thai Peanut Sauce,12,coconut mik,1/4,cup,"full fat (I use Ayam, Note 3)"
Beef Satay with Thai Peanut Sauce,12,curry powder,1,tbsp,(Note 4)
Beef Satay with Thai Peanut Sauce,12,white sugar,1,tsp,
Beef Satay with Thai Peanut Sauce,12,red curry paste,2,tsp,(Note 5)
Beef Satay with Thai Peanut Sauce,12,baking soda / bi-carb,1/2,tsp,"(tenderiser, Note 6)"
Beef Satay with Thai Peanut Sauce,12,salt,1,tsp,
Beef Satay with Thai Peanut Sauce,12,red curry paste,1,tbsp,(Note 5)
Beef Satay with Thai Peanut Sauce,12,coconut milk,2/3,cup,"full fat (I use Ayam, Note 3)"
Beef Satay with Thai Peanut Sauce,12,natural peanut butter,1/3,cup,smooth (Note 7)
Beef Satay with Thai Peanut Sauce,12,white sugar,1 1/2,tbsp,
Beef Satay with Thai Peanut Sauce,12,dark soy sauce,1,tsp,(Note 8)
Beef Satay with Thai Peanut Sauce,12,salt,1/2,tsp,
Beef Satay with Thai Peanut Sauce,12,cider vinegar,1,tbsp,(Note 9)
