meal,servings,name,amount,unit,notes
Vietnamese Chicken Salad,3,cooked chicken,350g/12oz,,"cut into thin batons (2 large cooked breasts, Note 1)"
Vietnamese Chicken Salad,3,heaped cups wombok cabbage,6,,"(Napa cabbage), finely shredded (Note 2)"
Vietnamese Chicken Salad,3,red onion,1/2,,very finely sliced (so it’s floppy)
Vietnamese Chicken Salad,3,red capsicum / bell pepper,1,,finely sliced into thin batons
Vietnamese Chicken Salad,3,cucumbers,2,,remove seeds then finely sliced into half moons (or 1 long continental/English cucumber)
Vietnamese Chicken Salad,3,large carrot,1,,peeled then julienned (I use a shredder)
Vietnamese Chicken Salad,3,large chilli,1,,"deseeded then julienned, optional (Note 3)"
Vietnamese Chicken Salad,3,mint leaves,1,cup (tightly packed),large leaves roughly torn by hand (Note 4)
Vietnamese Chicken Salad,3,coriander/cilantro leaves,1,cup (tightly packed),(Note 4)
Vietnamese Chicken Salad,3,lime juice,2,tbsp,
Vietnamese Chicken Salad,3,rice vinegar,2,tbsp,
Vietnamese Chicken Salad,3,fish sauce,1/4,cup,(sub light or all purpose soy sauce)
Vietnamese Chicken Salad,3,canola oil,1/4,cup,"(or vegetable, grapeseed, peanut)"
Vietnamese Chicken Salad,3,white sugar,1,tbsp,
Vietnamese Chicken Salad,3,large garlic clove,1,,very finely minced
Vietnamese Chicken Salad,3,red chilli,2,tsp,"deseeded then very finely minced (birds eye or Thai Red Chilli best, Note 3)"
Vietnamese Chicken Salad,3,"peanuts, roasted unsalted",1/2,cup,"finely chopped (~1/3 cup once chopped, Note 5)"
Vietnamese Chicken Pho soup (Pho Ga),4,oil,1,tbsp,vegetable or canola (or other plain oil)
Vietnamese Chicken Pho soup (Pho Ga),4,onions,2,,halved (skin on fine)
Vietnamese Chicken Pho soup (Pho Ga),4,piece of ginger,"5cm/ 2"" ",,"sliced 0.75cm / 1/3"" thick (unpeeled)"
Vietnamese Chicken Pho soup (Pho Ga),4,water,2 litres / 2 quarts,,
Vietnamese Chicken Pho soup (Pho Ga),4,"chicken thighs, bone in skin on ",1.5 kg / 3 lb,,(Note 1)
Vietnamese Chicken Pho soup (Pho Ga),4,small bunch coriander/cilantro,1,,(Note 2)
Vietnamese Chicken Pho soup (Pho Ga),4,star anise pods,5,,(was short in photo & video!)
Vietnamese Chicken Pho soup (Pho Ga),4,cinnamon stick,1,,
Vietnamese Chicken Pho soup (Pho Ga),4,cloves,4,,
Vietnamese Chicken Pho soup (Pho Ga),4,fennel seeds,2,tsp,
Vietnamese Chicken Pho soup (Pho Ga),4,coriander seeds,2,tsp,
Vietnamese Chicken Pho soup (Pho Ga),4,fish sauce,8,tsp,
Vietnamese Chicken Pho soup (Pho Ga),4,white sugar,6,tsp,
Vietnamese Chicken Pho soup (Pho Ga),4,salt,3/4,tsp,"(Cooking/kosher salt, or 1/2 tsp table salt)"
Vietnamese Chicken Pho soup (Pho Ga),4,dried rice noodles,360g / 13 oz,,thin flat (or 600g fresh)
Vietnamese Chicken Pho soup (Pho Ga),4,green onions stems,2,,finely sliced
Vietnamese Chicken Pho soup (Pho Ga),4,bean sprouts,3,cups,(Note 3)
Vietnamese Chicken Pho soup (Pho Ga),4,"EACH Thai Basil, min, coriander/cilantro",1,small bunch,(Note 4)
Vietnamese Chicken Pho soup (Pho Ga),4,limes,2,,cut into 4 wedges
Vietnamese Chicken Pho soup (Pho Ga),4,Hoisin sauce,,,
Vietnamese Chicken Pho soup (Pho Ga),4,Sriracha,,,
Vietnamese Chicken Pho soup (Pho Ga),4,Red chillies,,,finely sliced (optional)
Vietnamese Pho recipe,6,large onions,2,,halved
Vietnamese Pho recipe,6,ginger,150g / 5oz ,,sliced down the centre
Vietnamese Pho recipe,6,star anise,10,,
Vietnamese Pho recipe,6,cinnamon quills,4,,
Vietnamese Pho recipe,6,cardamon pods,4,,
Vietnamese Pho recipe,6,cloves,3,,(the spice cloves!)
Vietnamese Pho recipe,6,coriander seeds,1.5,tbsp,
Vietnamese Pho recipe,6,beef brisket,1.5kg / 3lb ,,
Vietnamese Pho recipe,6,meaty beef bones,1kg / 2lb ,,
Vietnamese Pho recipe,6,marrow bones,1kg / 2lb ,,"(leg, knuckle), cut to reveal marrow"
Vietnamese Pho recipe,6,water,3.5 litres / 3.75 quarts ,,(15 cups)
Vietnamese Pho recipe,6,white sugar,2,tbsp,
Vietnamese Pho recipe,6,salt,1,tbsp,
Vietnamese Pho recipe,6,fish sauce,40 ml / 3 tbsp ,,(Note 2)
Vietnamese Pho recipe,6,dried rice sticks,50g / 1.5 oz ,,(or 120g/4oz fresh) (Note 3)
Vietnamese Pho recipe,6,"beef tenderloin, raw, very thinly sliced",30g / 1 oz ,,(Note 4)
Vietnamese Pho recipe,6,brisket slices,3 - 5,,(used for broth)
Vietnamese Pho recipe,6,"Beansprouts, handful",,,
Vietnamese Pho recipe,6,"Thai basil, 3 - 5 sprigs",,,
Vietnamese Pho recipe,6,"Coriander/cilantro, 3 - 5 sprigs",,,(or more basil)
Vietnamese Pho recipe,6,Lime wedges*,,,
Vietnamese Pho recipe,6,Finely sliced red chilli*,,,
Vietnamese Pho recipe,6,Hoisin sauce*,,,
